RADIO LISTENING,A ASCULTA LA RADIO
DIET AND NUTRITION,DIETĂ ȘI NUTRIȚIE
MEDICAL DIETS,DIETE MEDICALE
SLIMMING DIETS,DIETE PENTRU SLĂBIT
SPECIAL DIETS,DIETE SPECIALE
CLASS DIFFERENTIATION,DIFERENȚE DE CLASĂ SOCIALĂ
AGE DIFFERENCES,DIFERENȚE DE VÂRSTĂ
LEARNING DISABILITIES,DIFICULTĂȚI DE ÎNVĂȚARE
NATIONAL BROADCASTING,DIFUZARE ȘI TRANSMISIE NAȚIONALĂ DE PROGRAME AUDIOVIZUALE
LOCAL BROADCASTING,DIFUZARE LOCALĂ (RADIO ȘI TELEVIZIUNE)
EXTERNAL BROADCASTING,DIFUZARE RADIO ȘI TV EXTERNĂ
BROADCASTING,DIFUZARE TELEVIZATĂ ȘI RADIOFONICĂ
GROUP DYNAMICS,DINAMICĂ DE GRUP
POPULATION DYNAMICS,DINAMICA POPULAȚIEI
TEETH,DINȚI
DIPLOMACY,DIPLOMAȚIE
DISCIPLINE,DISCIPLINĂ
SCHOOL DISCIPLINE,DISCIPLINĂ ȘCOLARĂ
DISCRIMINATION,DISCRIMINARE
EDUCATIONAL DISCRIMINATION,DISCRIMINARE EDUCAȚIONALĂ
DISCRIMINATION AGAINST HOMOSEXUALS,DISCRIMINARE PE BAZA ORIENTĂRII SEXUALE
SEX DISCRIMINATION,DISCRIMINARE PE CRITERII DE GEN
NATIONALITY DISCRIMINATION,DISCRIMINARE PE CRITERII DE NAȚIONALITATE
AGE DISCRIMINATION,DISCRIMINARE PE CRITERII DE VÂRSTĂ
LANGUAGE DISCRIMINATION,DISCRIMINARE PE CRITERII LINGVISTICE
RELIGIOUS DISCRIMINATION,DISCRIMINARE PE CRITERII RELIGIOASE
RACIAL DISCRIMINATION,DISCRIMINARE RASIALĂ
DISABILITY DISCRIMINATION,DISCRIMINAREA PERSOANELOR CU DIZABILITĂȚI
SPEECH,DISCURS
DISSEMINATION OF INFORMATION,DISEMINAREA INFORMAȚIEI
DYSLEXIA,DISLEXIE
DYSPEPSIA,DISPEPSIE
REDUNDANCY,DISPONIBILIZARE PERMANENTĂ
LAY-OFFS,DISPONIBILIZARE TEMPORARĂ
SELF-TESTING KITS (MEDICAL),DISPOZITIVE (MEDICALE) DE AUTOTESTARE
OPTICAL DEVICES,DISPOZITIVE OPTICE
POPULATION DISTRIBUTION,DISTRIBUȚIA POPULAȚIEI
INCOME DISTRIBUTION,DISTRIBUȚIA VENITURILOR
AGE DISTRIBUTION,DISTRIBUȚIE PE VÂRSTE
OZONE LAYER DESTRUCTION,DISTRUGEREA STRATULUI DE OZON
CRIMINAL DAMAGE,DISTRUGERI
ENTERTAINMENT,DIVERTISMENT
DIVORCE,DIVORȚ
DIVORCED,DIVORȚAȚI
DISABILITIES,DIZABILITĂȚI
PHYSICAL DISABILITIES,DIZABILITĂȚI FIZICE
INTEREST (FINANCE),DOBÂNDĂ (FINANȚE)
DOCKERS,DOCHERI
ECONOMIC DOCTRINES,DOCTRINE ECONOMICE
POLITICAL DOCTRINES,DOCTRINE POLITICE
RELIGIOUS DOCTRINES,DOCTRINE RELIGIOASE
DOCKS,DOCURI
FIELDS OF STUDY,DOMENII DE STUDIU
DONATIONS TO CHARITY,DONAȚII DE CARITATE
ORGAN DONATION,DONARE DE ORGANE
BLOOD DONATION,DONARE DE SÎNGE
CRIMINAL RECORD,DOSAR PENAL
EVIDENCE,DOVEZI
LAW,DREPT (LEGISLAȚIE)
ADMINISTRATIVE LAW,DREPT ADMINISTRATIV
CIVIL LAW,DREPT CIVIL
COMMERCIAL LAW,DREPT COMERCIAL
CONSTITUTIONAL LAW,DREPT CONSTITUȚIONAL
CONTRACT LAW,DREPT CONTRACTUAL
LAND TENURE,DREPT DE POSESIUNE FUNCIARĂ
HOME OWNERSHIP,DREPT DE PROPRIETATE ASUPRA LOCUINȚEI
"PROPERTY, OWNERSHIP AND TENURE","DREPT DE PROPRIETATE, POSESIUNE ȘI FOLOSINȚĂ"
REAL PROPERTY LAW,DREPT IMOBILIAR
INTERNATIONAL LAW,DREPT INTERNAȚIONAL
INTERNATIONAL HUMANITARIAN LAW,DREPT INTERNAȚIONAL UMANITAR
RIGHT TO INFORMATION,DREPT LA INFORMAȚIE
CRIMINAL LAW,DREPT PENAL
PUBLIC LAW,DREPT PUBLIC
INHERITANCE LAW,DREPT SUCCESORAL
RIGHT TO WORK,DREPTUL DE A MUNCI
RIGHT TO VOTE AND BE ELECTED,DREPTUL DE A VOTA ȘI DE A FI ALES
RIGHT OF ASSOCIATION,DREPTUL DE ASOCIERE
RIGHT OF WAY,DREPTUL DE TRECERE
FAMILY LAW,DREPTUL FAMILIEI
RIGHT TO POLITICAL ASYLUM,DREPTUL LA AZIL POLITIC
RIGHT TO CONFIDENTIALITY,DREPTUL LA CONFIDENȚIALITATE
RIGHT TO EDUCATION,DREPTUL LA EDUCAȚIE
RIGHT TO PRIVACY,DREPTUL LA INTIMITATE
RIGHT TO JUSTICE,DREPTUL LA JUSTIȚIE
RIGHT TO DIE,DREPTUL LA MOARTE
RIGHT TO NATIONALITY,DREPTUL LA NAȚIONALITATE
RIGHT TO NON-DISCRIMINATION,DREPTUL LA NEDISCRIMINARE
RIGHT TO PROPERTY,DREPTUL LA PROPRIETATE
RIGHT TO ADEQUATE LIVING STANDARDS,DREPTUL LA STANDARDE ADECVATE DE TRAI
RIGHT TO A MINIMUM INCOME,DREPTUL LA VENITUL MINIM
LABOUR LAW,DREPTUL MUNCII
CIVIL AND POLITICAL RIGHTS,DREPTURI CIVILE ȘI POLITICE
COMMON RIGHTS,DREPTURI COMUNE
CULTURAL RIGHTS,DREPTURI CULTURALE
ROYALTIES,DREPTURI DE AUTOR
FISHING RIGHTS,DREPTURI DE PESCUIT
SOCIAL AND ECONOMIC RIGHTS,DREPTURI ECONOMICE ȘI SOCIALE
EQUAL RIGHTS OF MEN AND WOMEN,DREPTURI EGALE PENTRU BĂRBAȚI ȘI FEMEI
RIGHTS AND PRIVILEGES,DREPTURI ȘI PRIVILEGII
PUBLIC ACCESS RIGHTS,DREPTURI PRIVIND ACCESUL PUBLIC
TRADE UNION RIGHTS,DREPTURI SINDICALE
TERRITORIAL RIGHTS,DREPTURI TERITORIALE
RIGHTS OF ACCUSED,DREPTURILE ACUZATULUI
ANIMAL RIGHTS,DREPTURILE ANIMALELOR
RIGHTS OF THE CHILD,DREPTURILE COPILULUI
WOMEN'S RIGHTS,DREPTURILE FEMEILOR
RIGHTS OF SPECIAL GROUPS,DREPTURILE GRUPURILOR SPECIALE
WORKERS' RIGHTS,DREPTURILE MUNCITORILOR
HUMAN RIGHTS,DREPTURILE OMULUI
RIGHTS OF PRISONERS,DREPTURILE PRIZONIERILOR
RIGHTS OF STATES,DREPTURILE STATELOR
RIGHTS OF STUDENTS,DREPTURILE STUDENȚILOR
HIKING,DRUMEȚIE PE MUNTE
ROADS,DRUMURI ȘI ȘOSELE
BRIDLEWAYS,DRUMURI PENTRU CAI
PAIN,DURERE
BACK PAIN,DURERE DE SPATE
HEADACHES,DURERI DE CAP
RANDOM SAMPLE,EȘANTION ALEATORIU
QUASI-RANDOM SAMPLE,EȘANTION CVASI-ALEATORIU
QUOTA SAMPLE,EȘANTION PE COTE
INTERNATIONAL EQUILIBRIUM,ECHILIBRU INTERNAȚIONAL
EQUIPMENT,ECHIPAMENT
AGRICULTURAL EQUIPMENT,ECHIPAMENT AGRICOL
AUDIO EQUIPMENT,ECHIPAMENT AUDIO
AUDIO AND VIDEO EQUIPMENT,ECHIPAMENT AUDIO ȘI VIDEO
COMMUNICATIONS EQUIPMENT,ECHIPAMENT DE COMUNICAȚII
SAFETY EQUIPMENT,ECHIPAMENT DE PROTECȚIE
FIRE PROTECTION EQUIPMENT,ECHIPAMENT DE PROTECȚIE ÎN CAZ DE INCENDIU
PROTECTIVE HEADWEAR,ECHIPAMENT DE PROTECȚIE PENTRU CAP
ELECTRICAL EQUIPMENT,ECHIPAMENT ELECTRIC
ELECTRONIC EQUIPMENT,ECHIPAMENT ELECTRONIC
MEDICAL EQUIPMENT AND SUPPLIES,ECHIPAMENT MEDICAL ȘI CONSUMABILE
PERSONAL PROTECTIVE GEAR,ECHIPAMENT PERSONAL DE PROTECȚIE
SPORTS EQUIPMENT,ECHIPAMENT SPORTIV
ECOLOGY,ECOLOGIE
HUMAN ECOLOGY,ECOLOGIE UMANĂ
BUSINESS ECONOMICS,ECONOMIA AFACERILOR
WELFARE ECONOMICS,ECONOMIA DE BUNĂSTARE
ECONOMICS OF EDUCATION,ECONOMIA EDUCAȚIEI
LABOUR ECONOMICS,ECONOMIA MUNCII
TRANSPORT ECONOMICS,ECONOMIA TRANSPORTURILOR
ECONOMICS,ECONOMIE
AGRICULTURAL ECONOMICS,ECONOMIE AGRICOLĂ
COLLECTIVE ECONOMY,ECONOMIE COLECTIVĂ
CULTURAL ECONOMICS,ECONOMIE CULTURALĂ
MARKET ECONOMY,ECONOMIE DE PIAȚĂ
TRANSITION ECONOMIES,ECONOMIE DE TRANZIȚIE
LAND ECONOMICS,ECONOMIE FUNCIARĂ
INDUSTRIAL ECONOMICS,ECONOMIE INDUSTRIALĂ
INFORMAL ECONOMY,ECONOMIE INFORMALĂ
INTERNATIONAL ECONOMICS,ECONOMIE INTERNAȚIONALĂ
MIXED ECONOMY,ECONOMIE MIXTĂ
MONETARY ECONOMICS,ECONOMIE MONETARĂ
NATIONAL ECONOMY,ECONOMIE NAȚIONALĂ
PLANNED ECONOMY,ECONOMIE PLANIFICATĂ
REGIONAL ECONOMY,ECONOMIE REGIONALĂ
RURAL ECONOMICS,ECONOMIE RURALĂ
SOCIAL ECONOMY,ECONOMIE SOCIALĂ
SAVINGS,ECONOMII
ECONOMISTS,ECONOMIȘTI
EDITING,EDITARE
EDITORS,EDITORI ȘI REDACTORI
ADULT EDUCATION,EDUCAȚIA ADULȚILOR
WOMEN'S EDUCATION,EDUCAȚIA FEMEILOR
EDUCATION,EDUCAȚIE
AGRICULTURE AND VETERINARY EDUCATION,EDUCAȚIE AGRICOLĂ ȘI VETERINARĂ
AGRICULTURE EDUCATION,EDUCAȚIE AGRICOLĂ
ARCHAEOLOGY EDUCATION,EDUCAȚIE ARHEOLOGICĂ
ARTS EDUCATION,EDUCAȚIE ARTISTICĂ
CIVIC EDUCATION,EDUCAȚIE CIVICĂ
STATE EDUCATION,EDUCAȚIE DE STAT
PHILOSOPHY EDUCATION,EDUCAȚIE FILOSOFICĂ
PHYSICAL EDUCATION,EDUCAȚIE FIZICĂ
LOWER SECONDARY EDUCATION,EDUCAȚIE GIMNAZIALĂ
HEALTH PROMOTION AND EDUCATION,EDUCAȚIE ȘI PROMOVARE A SĂNĂTĂȚII
DRUG EDUCATION,EDUCAȚIE ÎMPOTRIVA CONSUMULUI ȘI UTILIZĂRII DROGURILOR
ANTHROPOLOGY EDUCATION,EDUCAȚIE ÎN ANTROPOLOGIE
ARCHITECTURE AND BUILDING EDUCATION,EDUCAȚIE ÎN ARHITECTURĂ ȘI CONSTRUCȚII
ARCHITECTURE AND TOWN PLANNING EDUCATION,EDUCAȚIE ÎN ARHITECTURĂ ȘI PLANIFICARE URBANĂ
GRAPHIC AND AUDIO-VISUAL ARTS EDUCATION,EDUCAȚIE ÎN ARTA GRAFICĂ ȘI AUDIOVIZUALĂ
PERFORMING ARTS EDUCATION,EDUCAȚIE ÎN ARTA SPECTACOLULUI
FINE ARTS EDUCATION,EDUCAȚIE ÎN ARTE FRUMOASE
HUMANITIES AND ARTS EDUCATION,EDUCAȚIE ÎN ARTE ȘI ȘTIINȚELE UMANISTE
POST-SECONDARY NON-TERTIARY EDUCATION,"EDUCAȚIE ÎN ȘCOLILE PROFESIONALE, VOCAȚIONALE ȘI DE UCENICI"
CRIMINOLOGY EDUCATION,EDUCAȚIE ÎN CRIMINOLOGIE
DEMOGRAPHY EDUCATION,EDUCAȚIE ÎN DEMOGRAFIE
RECREATIONAL EDUCATION,EDUCAȚIE ÎN DOMENIUL ACTIVITĂȚILOR DE RECREERE
BUILDING CONSTRUCTION EDUCATION,EDUCAȚIE ÎN DOMENIUL CONSTRUCȚIEI CLĂDIRILOR
"SOCIAL SCIENCES, BUSINESS AND LAW EDUCATION","EDUCAȚIE ÎN DOMENIUL DREPTULUI, AFACERILOR ȘI AL ȘTIINȚELOR SOCIALE"
MANUFACTURING AND PROCESSING EDUCATION,EDUCAȚIE ÎN DOMENIUL FABRICĂRII ȘI PRELUCRĂRII MANUALE
COMPUTER SCIENCE EDUCATION,EDUCAȚIE ÎN DOMENIUL INFORMATICII ȘI CALCULATOARELOR
CIVIL ENGINEERING EDUCATION,EDUCAȚIE ÎN DOMENIUL INGINERIEI CIVILE
POPULATION EDUCATION,EDUCAȚIE ÎN DOMENIUL PLANIFICĂRII FAMILIALE
HEALTH EDUCATION,EDUCAȚIE ÎN DOMENIUL SĂNĂTĂȚII
SERVICES EDUCATION,EDUCAȚIE ÎN DOMENIUL SERVICIILOR
SECURITY SERVICES EDUCATION,EDUCAȚIE ÎN DOMENIUL SERVICIILOR DE SECURITATE
MEDICAL SERVICES EDUCATION,EDUCAȚIE ÎN DOMENIUL SERVICIILOR MEDICALE
PERSONAL SERVICES EDUCATION,EDUCAȚIE ÎN DOMENIUL SERVICIILOR PERSONALE
SOCIAL SERVICES EDUCATION,EDUCAȚIE ÎN DOMENIUL SERVICIILOR SOCIALE
SCIENCE EDUCATION,EDUCAȚIE ÎN DOMENIUL ȘTIINȚELOR
"SCIENCE, MATHEMATICS AND COMPUTING EDUCATION","EDUCAȚIE ÎN DOMENIUL ȘTIINȚELOR, MATEMATICII ȘI AL INFORMATICII"
LAW EDUCATION,EDUCAȚIE ÎN DREPT
ECONOMICS EDUCATION,EDUCAȚIE ÎN ECONOMIE
ETHICS EDUCATION,EDUCAȚIE ÎN ETICĂ
ETHNOLOGY EDUCATION,EDUCAȚIE ÎN ETNOLOGIE
FUTUROLOGY EDUCATION,EDUCAȚIE ÎN FUTUROLOGIE
GEOGRAPHY EDUCATION,EDUCAȚIE ÎN GEOGRAFIE
ENGINEERING AND ENGINEERING TRADES EDUCATION,EDUCAȚIE ÎN INGINERIE ȘI MESERII INGINEREȘTI
"ENGINEERING, MANUFACTURING AND CONSTRUCTION EDUCATION","EDUCAȚIE ÎN INGINERIE, MANUFACTURĂ ȘI CONSTRUCȚII"
NATIVE LANGUAGES EDUCATION,EDUCAȚIE ÎN LIMBA MATERNĂ
LANGUAGES AND LINGUISTICS EDUCATION,EDUCAȚIE ÎN LIMBI STRĂINE ȘI LINGVISTICĂ
COMPARATIVE LITERATURE EDUCATION,EDUCAȚIE ÎN LITERATURĂ COMPARATĂ
MATHEMATICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ
MATHEMATICS AND STATISTICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ ȘI STATISTICĂ
ENVIRONMENTAL PROTECTION EDUCATION,EDUCAȚIE ÎN PROTECȚIA MEDIULUI
PSYCHOLOGY EDUCATION,EDUCAȚIE ÎN PSIHOLOGIE
TRANSPORT SERVICES EDUCATION,EDUCAȚIE ÎN SERVICII DE TRANSPORT
SOCIOLOGY EDUCATION,EDUCAȚIE ÎN SOCIOLOGIE
STATISTICS EDUCATION,EDUCAȚIE ÎN STATISTICĂ
DOMESTIC SCIENCE EDUCATION,EDUCAȚIE ÎN ȘTIINȚE NECESARE VIEȚII DE FAMILIE
POLITICAL SCIENCE EDUCATION,EDUCAȚIE ÎN ȘTIINȚE POLITICE
HUMANITIES EDUCATION,EDUCAȚIE ÎN ȘTIINȚE UMANE
PHYSICAL SCIENCES EDUCATION,EDUCAȚIE ÎN ȘTIINȚELE FIZICE
SOCIAL AND BEHAVIOURAL SCIENCES EDUCATION,EDUCAȚIE ÎN ȘTIINȚELE SOCIALE ȘI COMPORTAMENTALE
LIFE SCIENCES EDUCATION,EDUCAȚIE ÎN ȘTIINȚELE VIEȚII
PRIVATE EDUCATION,EDUCAȚIE ÎN UNITĂȚI DE ÎNVĂȚĂMÂNT PRIVATE
HISTORY EDUCATION,EDUCAȚIE ISTORICĂ
SECONDARY EDUCATION,EDUCAȚIE LICEALĂ
MEDICINE EDUCATION,EDUCAȚIE MEDICALĂ
MILITARY EDUCATION,EDUCAȚIE MILITARĂ
MORAL EDUCATION,EDUCAȚIE MORALĂ
MUSIC EDUCATION,EDUCAȚIE MUZICALĂ
LIFELONG EDUCATION,EDUCAȚIE PE PARCURSUL VIEȚII
SPECIAL NEEDS EDUCATION,EDUCAȚIE PENTRU PERSOANELE CU NEVOI SPECIALE
PRIMARY EDUCATION,EDUCAȚIE PRIMARĂ
RELIGION AND THEOLOGY EDUCATION,EDUCAȚIE RELIGIOASĂ ȘI TEOLOGICĂ
HEALTH AND WELFARE EDUCATION,"EDUCAȚIE SANITARĂ, PENTRU SĂNĂTATE ȘI BUNĂSTARE"
SEX EDUCATION,EDUCAȚIE SEXUALĂ
SPECIAL EDUCATION,EDUCAȚIE SPECIALĂ
DENTAL EDUCATION,EDUCAȚIE STOMATOLOGICĂ
TECHNICAL EDUCATION,EDUCAȚIE TEHNICĂ
VETERINARY EDUCATION,EDUCAȚIE VETERINARĂ
VOCATIONAL EDUCATION,EDUCAȚIE VOCAȚIONALĂ
PRE-PRIMARY SCHOOL TEACHERS,EDUCATORI
TEACHERS,"EDUCATORI, ÎNVĂȚĂTORI ȘI PROFESORI DE LICEU"
FAILURE,EȘEC
BUSINESS FAILURES,EȘECURI ÎN AFACERI
GREENHOUSE EFFECT,EFECT DE SERĂ
DRUG EFFECTS,EFECTE ALE MEDICAMENTELOR
PHYSIOLOGICAL EFFECTS,EFECTE FIZIOLOGICE
PSYCHOLOGICAL EFFECTS,EFECTE PSIHOLOGICE
DRUG SIDE-EFFECTS,EFECTE SECUNDARE ALE MEDICAMENTELOR
HEADS OF GOVERNMENT,ȘEFI DE GUVERN
HEADS OF STATE,ȘEFI DE STATE
PERSONAL EFFICACY,EFICACITATE PERSONALĂ
EQUAL EDUCATION,EGALITATE DE ȘANSE ÎN EDUCAȚIE
EQUALITY BEFORE THE LAW,EGALITATE ÎN FAȚA LEGII
POLICY MAKING,ELABORARE DE POLITICI
ELECTORS,ELECTORI
DOMESTIC APPLIANCES,ELECTROCASNICE
STRUCTURAL ELEMENTS (BUILDINGS),ELEMENTE STRUCTURALE (CLĂDIRI)
NEWS ITEMS,ELEMENTELE ȘTIRILOR
SPECIAL NEEDS STUDENTS,ELEVI ȘI STUDENȚI CU NEVOI SPECIALE
PAROLE,ELIBERARE CONDIȚIONATĂ
PRISON DISCHARGE,ELIBERARE DIN ÎNCHISOARE
ELITE,ELITE
FUMES,EMANAȚII
EMBLEMS,EMBLEME
EMIGRANTS,EMIGRANȚI
EMIGRATION,EMIGRARE
BOVINE SPONGIFORM ENCEPHALOPATHY,ENCEFALOPATIE SPONGIFORMĂ LA BOVINE
WAVE POWER,ENERGIA UNDELOR
ENERGY,ENERGIE
ELECTRIC POWER,ENERGIE ELECTRICĂ
WIND POWER,ENERGIE EOLIANĂ
WATER POWER,ENERGIE HIDROELECTRICĂ
NUCLEAR ENERGY,ENERGIE NUCLEARĂ
RENEWABLE ENERGY,ENERGIE REGENERABILĂ
SOLAR POWER,ENERGIE SOLARĂ
ENURESIS,ENUREZIS
EPIDEMIOLOGY,EPIDEMIOLOGIE
EPILEPSY,EPILEPSIE
BISHOPS,EPISCOPI
POLITICAL PURGES,EPURĂRI POLITICE
ESTIMATION,ESTIMĂRI
ETHICS,ETICĂ
MEDICAL ETHICS,ETICĂ MEDICALĂ
WORK ETHIC,ETICA MUNCII
POLITICAL ETHICS,ETICĂ POLITICĂ
PROFESSIONAL ETHICS,ETICĂ PROFESIONALĂ
ETHICS OF SCIENCE,ETICĂ ȘTIINȚIFICĂ
ELECTRONIC TAGGING OF OFFENDERS,ETICHETAREA ELECTRONICĂ A INFRACTORILOR
ETHNOCENTRISM,ETNOCENTRISM
ETHNOGRAPHY,ETNOGRAFIE
EUTHANASIA,EUTANASIE
EVACUEES,EVACUAȚI
SEWAGE DISPOSAL AND HANDLING,EVACUAREA ȘI EPURAREA APELOR REZIDUALE
WASTE DISPOSAL AND HANDLING,EVACUAREA ȘI TRATAREA DEȘEURILOR
ESCAPE FROM PRISON,EVADARE DIN ÎNCHISOARE
EVALUATION,EVALUARE
EDUCATIONAL ASSESSMENT,EVALUARE EDUCAȚIONALĂ
ABILITY EVALUATION,EVALUAREA COMPETENȚEI
EVALUATION OF EDUCATION,EVALUAREA EDUCAȚIEI
CURRICULUM EVALUATION,EVALUAREA PLANULUI DE ÎNVĂȚĂMÂNT
JOB EVALUATION,EVALUAREA SARCINILOR DE LUCRU
CULTURAL EVENTS,EVENIMENTE CULTURALE
RUNNING EVENTS,EVENIMENTE DE ATLETISM
LIFE EVENTS,EVENIMENTE DE VIAȚĂ
MUSIC EVENTS,EVENIMENTE MUZICALE
SPORTING EVENTS,EVENIMENTE SPORTIVE
TAX AVOIDANCE,EVITAREA PLĂTIRII IMPOZITELOR
EVOLUTION,EVOLUȚIE
GENETIC SCREENING,EXAMINARE GENETICĂ
EXAMINATIONS,EXAMINĂRI
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE
SOCIAL EXCLUSION,EXCLUZIUNE SOCIALĂ
POLITICAL EXECUTIONS,EXECUȚII POLITICE
AEROBIC EXERCISE,EXERCIȚII AEROBICE
EXERCISE,EXERCIȚII FIZICE
EXPATRIATES,EXPATRIAȚI
DISPATCHING (GOODS),EXPEDIERE (A MĂRFURILOR)
EXPERIENCE,EXPERIENȚĂ
EMPLOYMENT HISTORY,EXPERIENȚĂ PROFESIONALĂ
RELIGIOUS EXPERIENCE,EXPERIENȚĂ RELIGIOASĂ
EXPLOITATION,EXPLOATARE
ECONOMIC EXPLOITATION,EXPLOATARE ECONOMICĂ
EXPLOITATION OF CHILD LABOUR,EXPLOATAREA COPIILOR PRIN MUNCĂ
EXPORTS AND IMPORTS,EXPORTURI ȘI IMPORTURI
EXHIBITIONS,EXPOZIȚII
CLIMATIC EXPOSURE,EXPUNERE CLIMATICĂ
MASS MEDIA EXPOSURE,EXPUNERE MASS MEDIA
EXTRADITION,EXTRĂDARE
POLITICAL EXTREMISM,EXTREMISM POLITIC
SPORTS FACILITIES,FACILITĂȚI SPORTIVE
FACTORS OF PRODUCTION,FACTORI DE PRODUCȚIE
FORGERY,FALS
EXTENDED FAMILY,FAMILIA EXTINSĂ
FAMILIES,FAMILII
ONE-PARENT FAMILIES,FAMILII MONOPARENTALE
GHOSTS,FANTOME
PHARMACIES,FARMACII
PHARMACISTS,FARMACIȘTI
PHARMACOLOGY,FARMACOLOGIE
LIGHTHOUSES,FARURI PORTUARE
FASCISM,FASCISM
FECUNDITY,FECUNDITATE
FEDERALISM,FEDERALISM
WOMEN,FEMEI
MARRIED WOMEN,FEMEI CĂSĂTORITE
MARRIED WOMEN WORKERS,FEMEI CĂSĂTORITE ANGAJATE
HOUSEWIVES,FEMEI CASNICE
WORKING WOMEN,FEMEI LUCRĂTOARE
WINDOWS,FERESTRE
FERRIES,FERIBOTURI
HAPPINESS,FERICIRE
FARMERS,"FERMIERI, AGRICULTORI ȘI CRESCĂTORI DE ANIMALE"
FERTILITY,FERTILITATE
IN-VITRO FERTILIZATION,FERTILIZARE IN-VITRO
FESTIVALS,FESTIVALURI
GIRLS,FETE
JOB DESCRIPTION,FIȘA POSTULUI
FICTION,FICȚIUNE
RELIABILITY,FIDELITATE (MĂSURARE)
NEWS FILMS,FILME DE ACTUALITĂȚI
SOCIAL WELFARE PHILOSOPHY,FILOSOFIA BUNĂSTĂRII SOCIALE
PHILOSOPHY,FILOSOFIE
POLITICAL PHILOSOPHY,FILOSOFIE POLITICĂ
SOCIAL WELFARE FINANCE,FINAȚELE BUNĂSTĂRII SOCIALE
FINANCING,FINANȚARE
CULTURAL FINANCE,FINANȚARE PENTRU PROIECTE CULTURALE
REGIONAL FINANCE,FINANȚĂRI REGIONALE
FINANCE,FINANȚE
EDUCATIONAL FINANCE,FINANȚE ÎN DOMENIUL EDUCAȚIONAL
LOCAL FINANCE,FINANȚE LOCALE
RESEARCH FINANCE,FINANȚE PENTRU CERCETARE
PUBLIC FINANCE,FINANȚE PUBLICE
LAND AND PROPERTY FINANCE,FINANȚELE TERENURILOR ȘI PROPRIETĂȚILOR FUNCIARE
HOUSING FINANCE,FINANȚELE UNEI LOCUINȚE
PHYTOGEOGRAPHY,FITOGEOGRAFIE
PHYTOPATHOLOGY,FITOPATOLOGIE
HERBAL MEDICINE,FITOTERAPIE
PHYSICS,FIZICĂ
NUCLEAR PHYSICS,FIZICĂ NUCLEARĂ
PARTICLE PHYSICS,FIZICA PARTICULELOR
PHYSIOLOGY,FIZIOLOGIE
PHYSIOGNOMY,FIZIONOMIA
PHYSIOTHERAPY,FIZIOTERAPIE
ECONOMIC FLUCTUATIONS,FLUCTUAȚII ECONOMICE
STREAMS,FLUVII
CAPITAL FLOW,FLUX DE CAPITAL
NEWS FLOW,FLUX DE ȘTIRI
HUNGER,FOAME
FAMINE,FOAMETE
SCHOOL PHOBIA,FOBIE ȘCOLARĂ
PHOBIAS,FOBII
FOLKLORE,FOLCLOR
CONDOM USE,FOLOSIREA PREZERVATIVELOR
WAGES GUARANTEE FUND,FONDUL DE GARANTARE A SALARIILOR
INTERNATIONAL MONETARY FUND,FONDUL MONETAR INTERNAȚIONAL
LABOUR FORCE,FORȚĂ DE MUNCĂ
AIR FORCES,FORȚE AERIENE
ARMED FORCES,FORȚE ARMATE
EDUCATIONAL BACKGROUND,FORMARE EDUCAȚIONALĂ
OCCUPATIONAL TRAINING,FORMARE PROFESIONALĂ
TEACHER TRAINING,FORMAREA CADRELOR DIDACTICE
TEACHER TRAINING AND EDUCATION SCIENCE,FORMAREA CADRELOR DIDACTICE ȘI ȘTIINȚELE EDUCAȚIEI
ADULT EDUCATION TEACHERS,FORMATORI
LITERARY FORMS AND GENRES,FORME ȘI GENURI LITERARE
AMATEUR PHOTOGRAPHY,FOROGRAF AMATOR
PEACE-KEEPING FORCES,FORŢE DE MENŢINERE A PĂCII
FORMER CIVIL PARTNERS,FOȘTI PARTENERI CIVILI
PHOTOGRAPHY,FOTOGRAFIE
PHOTOJOURNALISM,FOTOJURNALISM
SIBLINGS,FRAȚI ȘI SURORI
FRANCHISES (BUSINESS),FRANCIZE (BUSINESS)
FREEMASONRY,FRANCMASONERIE
FRATERNAL SOCIETIES,FRATENITĂȚI
FRAUD,FRAUDĂ
FREQUENCY,FRECVENȚĂ
FREQUENCY OF DATA COLLECTION,FRECVENȚA CULEGERII DATELOR
CONCERT GOING,FRECVENTAREA CONCERTELOR
FEAR,FRICĂ
CERVICAL SMEARS,FROTIU CERVICAL
FRUIT,FRUCTE
SMOKE,FUM
SMOKING,FUMAT
PASSIVE SMOKING,FUMAT PASIV
LOCAL GOVERNMENT OFFICERS,FUNCȚIONARI ÎN ADMINISTRAȚIA LOCALĂ
CIVIL SERVANTS,FUNCȚIONARI PUBLICI
PUBLIC OFFICIALS,FUNCȚIONARII PUBLICI
FUNERALS,FUNERALII
ANGER,FURIE
BURGLARY,FURT
SHOPLIFTING,FURT DIN MAGAZINE
THEFT,FURT FĂRĂ ÎNCĂLCAREA PROPRIETĂȚII
MERGERS,FUZIUNI
THINKING,GÂNDIRE
REASONING,GÂNDIRE RAȚIONALĂ
GARAGES,GARAJE
RAILWAY STATIONS,GĂRI
COOKING,GĂTIT
JEALOUSY,GELOZIE
GENDER,GEN
GENEALOGY,GENEALOGIE
GENERATIONS (AGE),GENERAȚII (VÂRSTĂ)
