Preferred Term,UF
OCUPAȚII PROFESIONALE,OCUPAȚII LIBER ALESE
OFENSE,PREJUDICII
OMBUDSMEN,AVOCATUL POPORULUI
OMBUDSMEN,MEDIATOR INTERN
OMBUDSMEN,OMBUDSMAN
OMUCIDERE,OMOR
OPORTUNITĂȚI EDUCAȚIONALE,OFERTĂ EDUCAȚIONALĂ
OPORTUNITĂȚI EDUCAȚIONALE,OPORTUNITĂȚI DE ANTRENAMENT
OPOZIȚIE POLITICĂ,PROTEST POLITIC
OPTIMISM,PESIMISM
ORDINE,DISPOZIȚII
ORGANIZAȚII PRIVATE DE VOLUNTARIAT,ONG-URI
ORIENTARE SEXUALĂ,LGBT
ORTODOXIE,BISERICA ORTODOXĂ GREACĂ
ORTODOXIE,BISERICA ORTODOXĂ RUSĂ
ORTODOXIE,RELIGIA ORTODOXĂ GREACĂ
ORTODOXIE,RELIGIA ORTODOXĂ RUSĂ
PACHETE DIDACTICE,BAZE DE DATE DIDACTICE
PARALIZIE CEREBRALĂ,AFECȚIUNI SPASTICE
PARALIZIE CEREBRALĂ,TULBURĂRI SPASTICE
PARTENERIATE (AFACERI),PARTENERIA DE AFACERI
PARTENERIATE ECONOMICE,CONVENȚII ECONOMICE
PARTICIPARE CULTURALĂ,PARTICIPAREA LA ACTIVITĂȚI CULTURALE
PARTICIPARE CULTURALĂ,TOLERANȚĂ CULTURALĂ
PARTICIPARE STUDENȚEASCĂ,PARTICIPAREA ELEVILOR
PARTICULARITĂȚI ALE LOCULUI DE MUNCĂ,CARACTERISTICI ALE LOCULUI DE MUNCĂ
PĂRTINIRE ÎN MASS MEDIA,AFILIEREA MASS MEDIEI
PĂRTINIRE ÎN MASS MEDIA,CRITICA ÎN MASS MEDIA
PĂRTINIRE ÎN MASS MEDIA,SUSȚINERE MASS MEDIA
PATINAJ,PATINAJ CU PATINE CU ROLE
PATINAJ,PATINAJ PE GHEAȚĂ
PEDEAPSĂ CU ÎNCHISOAREA PE TERMEN LUNG,ÎNCARCERARE PE TERMEN LUNG
PEDEPSE ȘCOLARE,EXMATRICULARE
PEDEPSE ȘCOLARE,PEDEPSE CORPORALE
PEDEPSE ȘCOLARE,REPETENȚIE
PEDEPSE ȘCOLARE,SUSPENDARE
PEDEPSE NEPRIVATIVE DE LIBERTATE,PEDEPSE NONCUSTODIALE
PEDEPSE PRIVATIVE DE LIBERTATE,SENTINȚE DE ÎNCARCERARE
PEDICHIURĂ,CHIROPODIE
PENSII DE STAT,PENSII DE STAT PENTRU VÂRSTNICI
PENSII OCUPAȚIONALE,SCHEME DE PENSII ALE COMPANIILOR
PENSII OCUPAȚIONALE,SCHIME DE PENSII ALE ANGAJAȚILOR
PENSII PERSONALE PRIVATE,SCHEME PERSONALE DE PENSII
PENSIONARE,PENSIONARI
PENSIONARE,PERSOANE PENSIONATE
PERCEPȚIE,PROCESE PERCEPTUALE
PERCEPȚIE EXTRASENZORIALĂ,CLARVĂZĂTORI
PERCEPȚIE EXTRASENZORIALĂ,DEJA VU
PERIOADĂ DE ȘCOLARIZARE,TIMP PETRECUT LA ȘCOALĂ
PERSOANA CU VENITUL CEL MAI MARE DIN GOSPODĂRIE,
PERSOANA CU VENITUL CEL MAI MARE DIN GOSPODĂRIE,PERSOANĂ CARE ÎNTREȚINE PRIN VENIT ÎNTREAGA FAMILIE
PERSOANE CARE SUPRAVEGHEAZĂ COPII,BONE
PERSOANE SĂRACE,SĂRACI
PERSONAL DE RADIO ȘI TELEVIZIUNE,PERSONAL DE TELEVIZIUNE
PERSONAL DE RADIO ȘI TELEVIZIUNE,PERSONAL RADIO
PERSONAL PARAMEDICAL,PARAMEDIC
PERSONAL ȘTIINȚIFIC,PERSONAL ÎN DOMENIUL ȘTIINȚIFIC ȘI TEHNIC
PERSONALITATE,CARACTER
PIEȚE FINANCIARE,BURSA DE VALORI
PIEȚE FINANCIARE,PIAȚĂ DE CAPITAL
PIEȚE FINANCIARE,PIAȚĂ MONETARĂ
PLĂCI DENTARE,DINȚI FALȘI
PLAN DE ÎNVĂȚĂMÂNT,CURRICULUM
PLURALISM CULTURAL,DIFERENȚIERE CULTURALĂ
PLURALISM CULTURAL,DIVERSITATE CULTURALĂ
PLURALISM CULTURAL,DIVERSITATE DE CULTURI
PLURALISM CULTURAL,MULTICULTURALISM
POJAR,RUBEOLĂ
POLITICĂ,ȘTIINȚE POLITICE
POLITICA ADMINISTRAȚIILOR LOCALE,POLITICA AUTORITĂȚII LOCALE
POLITICA ADMINISTRAȚIILOR LOCALE,POLITICA MUNICIPALITĂȚII
POLITICĂ AGRICOLĂ,POLITICA AGRICOLĂ COMUNĂ
POLITICĂ INTERNĂ,POLITICĂ LOCALĂ
POLITICĂ SALARIALĂ,CONTROL SALARIAL
POLITICĂ SALARIALĂ,CONTROLUL SALARIILOR
POLITICĂ SALARIALĂ,ÎNGHEȚAREA SALARIILOR
POLITICĂ VAMALĂ,CONTROL VAMAL
POLUARE,CONTAMINARE
POLUARE CU PETROL,POLUARE PETROLIERĂ
POLUARE INDUSTRIALĂ,POLUARE CHIMICĂ
POPULAȚII INDIGENE,NATIVI
POPULAȚII INDIGENE,POPULAȚIA ABORIGENĂ
POSESIE ASUPRA LOCUINȚEI,PROPRIETATE OCUPATĂ CU CHIRIE
POȘTĂ ELECTRONICĂ,EMAIL
POȘTĂ ELECTRONICĂ,E-MAIL
POTECI,CĂRĂRI
POTECI,TRASEE MONTANE
POTECI,TRASEE TURISTICE
PREGĂTIRE,MEDITAȚII
PREMII,RECOMPENSE
PRESCRIPȚII MEDICALE,RECOMANDARE MEDICALĂ
PREZICEREA VIITORULUI,GHICIT
PREZIDENȚIE,PREȘEDINȚIE
PRIZONIERI,DEȚINUȚI
PROBLEME DE SĂNĂTATE,SĂNĂTATE PRECARĂ
PROCES DE COMUNICARE,CANALE DE COMUNICARE
PROCESE COGNITIVE,CARACTERISTICI PSIHOLOGICE
PROCESE COGNITIVE,COGNIȚIE
PROCESE COGNITIVE,PROCESE DE GÂNDIRE
PROCESE COGNITIVE,PROCESE MENTALE DE NIVEL ÎNALT
PROCESE MOTORII,ABILITĂȚI PSIHOMOTORII
PROCESE MOTORII,CAPACITĂȚI MOTORII
PROCESE MOTORII,COORDONARE FIZICĂ
PRODUCTIVITATE,PERFORMANȚĂ INDUSTRIALĂ
PRODUCTIVITATE,PRODUCTIVITATE INDUSTRIAL
PRODUS INTERN BRUT,PIB
PROFESII,PERSONAL DUPĂ OCUPAȚIE
PROFESII,PERSONAL DUPĂ PROFESIE
PROFESII DIN DOMENIUL COMUNICĂRII,PERSONAL DIN DOMENIUL COMUNICĂRII
PROFITURI,PROFITABILITATE
PROGRAME PENTRU CALCULATOR,SOFT
PROGRAME PENTRU CALCULATOR,SOFTWARE
PROGRAME SOCIALE,PROGRAME DE BUNĂSTARE SOCIALĂ
PROGRES ȘTIINȚIFIC,REVOLUȚIA TEHNICO-ȘTIINȚIFICĂ
PROIECTARE DEMOGRAFICĂ,PROGNOZĂ DEMOGRAFICĂ
PROPRIETĂȚILE APEI,CALITATEA APEI
PROPRIETĂȚILE APEI,CALITATEA APEI POTABILE
PROPRIETĂȚILE APEI,DURITATEA APEI
PROPRIETARI DE MAGAZIN,NEGUSTORI
PROPRIETARI DE MAGAZIN,PATRONI
PROTECȚIA CONSUMATORILOR,ASOCIAȚII ALE COSUMATORILOR
PROTECȚIA CONSUMATORILOR,CONSILII CONSULTATIVE
PROTECȚIE ȘI SIGURANȚĂ,SECURITATE
PROTECȚIE ȘI SIGURANȚĂ,SIGURANȚĂ
PROTEJAREA MEDIULUI,PROTECȚIA MEDIULUI
PROTEJAREA RESURSELOR,CONSERVAREA RESURSELOR NATURALE
PROTEST,DEMONSTRAȚIE
PROTEST SOCIAL,BOICOT
PROTESTANTISM,PROTESTANȚI
PSIHOLOGIE SOCIALĂ,SOCIOPSIHOLOGIE
PSIHOTERAPIE,TRATAMENT PSIHIATRIC
PUBLICAȚII PERIODICE,PRESĂ PERIODICĂ
PUBLICITATE,RECLAMĂ
PUBLICITATE PE INTERNET,PUBLICITATE ONLINE
PUBLICITATE PE INTERNET,RECLAME PE INTERNET
PUBLICITATE RADIO,RECLAMĂ RADIO
PUBLICITATE TELEVIZATĂ,RECLAMĂ TELEVIZATĂ
RĂCEALĂ COMUNĂ,GUTURAI
RADIO,TRANSMISIUNE RADIO
RANG AL NĂSCUTULUI VIU,ORDINEA NAȘTERILOR
RĂZBOI CIVIL,RĂZBOI INTERN
REACȚIA AUDIENȚELOR,REACȚIA PUBLICULUI
REALIZARE,REUȘITĂ
RECIDIVISM,RECIDIVĂ
RECRUTARE INTERNAȚIONALĂ,RECRUTARE PESTE GRANIȚELE ȚĂRII DE ORIGINE A PERSONALULUI
REȚELE DE COMUNICAȚII,REȚELE DE TELECOMUNICAȚII
REȚELE DE TELEFONIE MOBILĂ,SERVICII DE TELEFONIE MOBILĂ
REFORMĂ FUNCIARĂ,REFORMĂ AGRARĂ
REFORMĂ LEGISLATIVĂ,REFORMĂ JUDICIARĂ
REGISTRE EDUCAȚIONALE,CALENDARE UNIVERSITARE
REGISTRE EDUCAȚIONALE,FOI MATRICOLE
REGISTRE EDUCAȚIONALE,RAPOARTE ȘCOLARE
REGISTRE EDUCAȚIONALE,REGISTRE UNIVERSITARE
REGIUNE RURALĂ,PROVINCIE
REGIUNI DE TELEVIZIUNE,ZONE DE TELEVIZIUNE
RELAȚIA CADRU DIDACTIC-ELEV/STUDENT,RELAȚIA ELEV-CADRU DIDACTIC
RELAȚIA CADRU DIDACTIC-ELEV/STUDENT,RELAȚIA PROFESOR-STUDENT
RELAȚIA CADRU DIDACTIC-ELEV/STUDENT,RELAȚIA STUDENT-PROFESOR
RELAȚIA ELEV-ȘCOALĂ,RELAȚIA ȘCOALĂ-ELEV
RELAȚII DE MUNCĂ,RELAŢII INDUSTRIALE
RENUNȚARE LA FUMAT,GUMĂ DE MESTECAT CU NICOTINĂ
REPARTIȚII,ALOCĂRI DE PĂMÂNT
REPREZENTANȚI AI CULTELOR RELIGIOASE,PASTORI
REPREZENTANȚI AI CULTELOR RELIGIOASE,PREOȚI
REPREZENTANȚI AI CULTELOR RELIGIOASE,RABINI
REPREZENTANȚI AI CULTELOR RELIGIOASE,VICARI
REPRODUCERE CONTROLATĂ LA ANIMALE,REPRODUCERE CONTROLATĂ LA ANIMALE ȘI PĂSĂRI
RESPONSABILITĂȚI CASNICE,RUTINĂ DOMESTICĂ
RESPONSABILITĂȚI CASNICE,STRATEGII DE MUNCĂ ÎN GOSPODĂRIE
RESPONSABILITĂȚI DE STAT,RESPONSABILITATE GUVERNAMENTALĂ
RESTAURANTE,CAFENELE
RESTAURANTE,TERASE
RESTAURARE URBANĂ,REGENERARE URBANĂ
RESTRICȚII PENTRU FUMĂTORI,ZONE PENTRU NEFUMĂTORI
RESURSE FINANCIARE,DIFICULTĂȚI FINANCIARE
RESURSE FINANCIARE,SITUAȚII FINANCIARE
REZERVE NATURALE,SANCTUARII DE PĂSĂRI
REZERVOARE,BAZINE
RISC,PERCEPȚIA RISCULUI
RITURI,RITUALURI
RITURI,RITUALURI DE INIȚIERE
RITURI,RITURI DE INIȚIERE
SALARII,CÂȘTIGURI
SALARII,PLĂȚI SALARIALE
SALARII,RECOMPENSE SALARIALE
SALARII,REMUNERAȚIE
SALARII,REMUNERARE
SALARIU MIC,REMUNERARE SCĂZUTĂ
SALVARE MARITIMĂ,BĂRCI DE SALVARE
SĂNĂTATE DENTARĂ,SĂNĂTARE ORALĂ
SANCȚIUNI SOCIALE,CONTROL SOCIAL
SANCȚIUNI SOCIALE,SANCȚIUNI SOCIALE NEGATIVE
SĂRĂCIE,NIVEL DE SĂRĂCIE
SCHIMBARE ATITUDINALĂ,SCHIMBARA OPINIEI
SCHIMBARE CULTURALĂ,EVOLUȚIE CULTURALĂ
SCHIMBARE POLITICĂ,DEZVOLTARE POLITICĂ
SCHIMBARE POLITICĂ,REFORMĂ POLITICĂ
SCHIMBARE TEHNOLOGICĂ,DEZVOLTARE TEHNOLOGICĂ
SCHIMBARE TEHNOLOGICĂ,NOI TEHNOLOGII
SCLAVIE,COMERȚ CU SCLAVI
SCLAVIE,PROPRIETARI DE SCLAVI
SECURITATE DE STAT,SECURITATE STATALĂ
SECURITATE SOCIALĂ,SIGURANȚĂ SOCIALĂ
SECURITATE SOCIALĂ,SISTEME DE SECURITATE SOCIALĂ
SEGREGARE RASIALĂ,APARTHEID
SEGREGARE RASIALĂ,GHETOURI
SEGREGARE RASIALĂ,INTEGRARE RASIALĂ
SELECȚIE DE PERSONAL,PROCEDURI DE SELECȚIE A PERSONALULUI
SERVICII CONSULARE,SERVICII DIPLOMATICE
SERVICII DE ALIMENTARE CU APĂ (CLĂDIRI),ALIMENTARE CU APĂ CALDĂ
SERVICII DE ALIMENTARE CU APĂ (CLĂDIRI),SERVICII DE ALIMENTARE CU APĂ POTABILĂ
SERVICII DE AMBULANȚĂ,AMBULANȚE
SERVICII DE SĂNĂTATE ÎN UNITĂȚI PRIVATE,SERVICII DE SĂNĂTATE PRIVATE
SERVICII SPITALICEȘTI,SPITALE
SERVICIUL DE RELAȚII CU CLIENȚI,SERVICIUL PENTRU CLIENȚI
SFATURI MEDICALE,INFORMARE DESPRE SĂNĂTATE
SFATURI MEDICALE,PREVENIREA BOLILOR
SFATURI MEDICALE,SFATUL MEDICULUI
SIGURANȚĂ DOMESTICĂ,SIGURANȚA DOMICILIULUI
SIGURANȚĂ PROFESONALĂ,SECURITATE INDUSTRIALĂ
SIGURANȚĂ PROFESONALĂ,SIGURANȚA ȘI SĂNĂTATEA LA LOCUL DE MUNCĂ
SIKHISM,SIKHI
SINUCIDERE,SUICID
SISTEM CARDIOVASCULAR,SISTEM CIRCULATOR
SISTEM DIGESTIV,SISTEM GASTROINTESTINAL
SISTEM LOCOMOTOR,SISTEM MUSCULO-SCHELETIC
SISTEM NERVOS,SISTEM NEUROLOGIC
SISTEM ZECIMAL,SISTEM DECIMAL
SISTEME DE ALARMĂ,ALARME ANTIEFRACȚIE
SISTEME DE ALARMĂ PENTRU ASISTENȚĂ,ALARMĂ PERSONALĂ
SISTEME DE SIGURANȚĂ ALE VEHICULELOR,CENTURI DE SIGURANȚĂ
SISTEME DE SUPRAVEGHERE,SISTEM DE SUPRAVEGHERE CU CAMERĂ VIDEO
SISTEME DE TIMP,SISTEME TEMPORALE
SOCIALISM,SOCIALIȘTI
SOCIOLOGIE RURALĂ,SOCIETATE RURALĂ
SOCIOLOGIE RURALĂ,VIAȚĂ RURALĂ
SOCIOLOGIE URBANĂ,SOCIETATE URBANĂ
SOCIOLOGIE URBANĂ,VIAȚĂ URBANĂ
SOȚI SAU SOȚII,PARTENER (PERSONAL)
SOȚI SAU SOȚII,SOȚ
SOȚI SAU SOȚII,SOȚI
SOȚI SAU SOȚII,SOȚIE
SOLUȚIONAREA CONFLICTULUI,MEDIEREA CONFLICTELOR
SOLUȚIONAREA PLÂNGERILOR,PLÂNGERI
SONDAJE LA IEȘIREA DE LA URNE,EXITPOLURI
SPERJUR,MĂRTURIE MINCINOASĂ
SPORTURI AERIENE,PARAȘUTISM
SPORTURI AERIENE,PLANORISM
SPORTURI AERIENE,ZBOR CU PARAPANTA
SPORTURI COMBATIVE,ARTE MARȚIALE
SPORTURI COMBATIVE,AUTOAPĂRARE
SPORTURI COMBATIVE,BOX
SPORTURI COMBATIVE,JUDO
SPORTURI COMBATIVE,LUPTE CORP LA CORP
SPORTURI COMBATIVE,LUPTE GRECO-ROMANE
SPORTURI CU MOTOR,AUTOMOBILISM (SPORT)
SPORTURI CU MOTOR,MOTOCICLISM (SPORT)
SPORTURI DE IARNĂ,SPRTURI PE GHEAȚĂ
SPORTURI DE INTERIOR,DARTS
SPORTURI DE INTERIOR,JOC DE POPICE
SPORTURI ECVESTRE,ECHITAȚIE
SPORTURI SÂNGEROASE,CORIDĂ
SPORTURI SÂNGEROASE,VÂNĂTOARE
STABILIREA SALARIILOR,VARIAȚII SALARIALE REGIONALE
STATISTICĂ DEMOGRAFICĂ,DATE DEMOGRAFICE
STATISTICĂ DEMOGRAFICĂ,STATISTICI ALE POPULAȚIEI
STATUT SOCIAL,STATUS SOCIAL
STATUT SOCIO-ECONOMIC,STATUS SOCIO-ECONOMIC
STATUTUL PE PIAȚA FORȚEI DE MUNCĂ,ANGAJAT
STERILIZARE (SEX),LIGATURAREA TROMPELOR UTERINE
STERILIZARE (SEX),VASECTOMIE
STILURI DE VIAȚĂ,ALEGEREA STILULUI DE VIAȚĂ
STILURI DE VIAȚĂ,SCHIMBĂRIL ALE STILULUI DE VIAȚĂ
STILURI DE VIAȚĂ,STIL DE VIAȚĂ
STIMĂ DE SINE,RESPECT DE SINE
STOMATOLOGI,DENTIST
STRATIFICARE,DIFERENȚIERE SOCIALĂ
STRUCTURI ADMINISTRATIVE,POSTURI ADMINISTRATIVE
STRUCTURI DE SECURITATE PROPRIE A COMUNITĂȚILOR,STRUCTURI DE SECURITATE A CARTIERELOR
STRUCTURI DE SECURITATE PROPRIE A COMUNITĂȚILOR,SUPRAVEGHEREA CARTIERULUI
STUDII CULTURALE,EDUCAȚIE CULTURALĂ
STUDII CULTURALE,EDUCAȚIE ÎN GEOGRAFIE CULTURALĂ
SUBNUTRIȚIE,MALNUTRIȚIE
SUBVENȚII,SUBVENȚII GUVERNAMENTALE
SUBVENȚII AGRICOLE,MĂSURI DE SUSȚINERE A AGRICULTURII
SUBVENȚII AGRICOLE,SUBVENȚII PENTRU AGRICULTURĂ
SUFRAGIUL FEMEILOR,DREPTUL DE VOT AL FEMEILOR
SUPERSTIȚIE,MASCOTE NOROCOASE
SUPERSTIȚIE,PIATRĂ NOROCOASĂ
SUPERSTIȚIE,TALISMAN
SUPERSTIȚIE,TOTEM
SUPRAVEGHERE DIDACTICĂ,INSPECȚIE EDUCAȚIONALĂ
TAXĂ DE DRUM,ROVINIETĂ
TAXĂ PE CONSUM,IMPOZITUL PE CHELTUIELI
TAXE DE ÎNVĂȚĂMÂNT,TAXE ȘCOLARE
TAXE DE ÎNVĂȚĂMÂNT,TAXE UNIVERSITARE
TAXE VAMALE,TAXE DE IMPORT
TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,IT
TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,TEHNOLOGIA INFORMAȚIEI
TEHNOLOGIA INFORMAȚIEI ȘI A COMUNICAȚIILOR,TIC
TELEVIZIUNE,TRASMISIUNE TELEVIZATĂ
TESTE,TESTARE
TESTE AUDITIVE,AUDIOMETRIE
TESTE EDUCAȚIONALE,BACALAUREAT
TESTE EDUCAȚIONALE,LUCRĂRI DE CONTROL
TESTE EDUCAȚIONALE,TEST DE CAPACITATE
TESTE EDUCAȚIONALE,TEZE (LICEU)
TESTICULE NECOBORÂTE,CRIPTORHIDISM
ȘTIINȚE MEDICALE,MEDICINĂ
TIMP,DURATĂ (TIMP)
TINITUS,ACUFENĂ
TRANSFER INFORMAȚIONAL,FLUX INFORMAȚIONAL
TRANSMISIE PRIN FAX,FACSIMIL
TRANSPORT AERIAN,LINII AERIENE
TRANSPORT PENTRU STUDENȚI,AUTOBUZE PENTRU ȘCOALĂ
TRANSPORT PENTRU STUDENȚI,TRANSPORT EDUCAȚIONAL
TRANSPORT PUBLIC,TRANSPORTUL ÎN COMUN
TRANSPORT PUBLIC,TRANSPORTUL PASAGERILOR
TRANZACȚII BAZATE PE INFORMAȚII INTERNE,FOLOSIREA NELOIALĂ A INFORMAȚIILOR INTERNE
TRANZACȚII EXTERNE,PLĂȚI EXTERNE
TRANZACȚII EXTERNE,TRANSFERURI FINANCIARE EXTERNE
TRANZACȚII EXTERNE,TRANZACȚII FINANCIARE EXTERNE
TRATAMENT MEDICAL AUTOADMINISTRAT,AUTOMEDICAȚIE
TRATATE,TRATATUL CONSTITUȚIONAL AL UNIUNII EUROPENE
TRATATE,TRATATUL DE LA MAASTRICHT
TRECEREA DE LA ȘCOALĂ LA MUNCĂ,EXPERIENȚA TRECERII DE LA ȘCOALĂ LA MUNCĂ
TRIBUNALE ALE MUNCII,TRIBUNAL INTERN (ORGANIZAȚII)
TULBURĂRI CONGENITALE,DEFECT DIN NAȘTERE
TULBURĂRI CONGENITALE,DEFECTE CONGENITALE
TULBURĂRI CONGENITALE,MALFORMAȚII CONGENITALE
TULBURĂRI DE ANXIETATE,STĂRI DE ANXIETATE
TULBURĂRI DE LIMBAJ,TULBURĂRI LINGVISTICE
TULBURĂRI DE MEMORIE,PIERDEREA MEMORIEI
TULBURĂRI DE SOMN,INSOMNIE
TULBURĂRI DE VEDERE,DEFECTE DE VEDERE
TULBURĂRI DE VEDERE,TULBURĂRI VIZUALE
TULBURĂRI ENDOCRINE,BOLI ALE SISTEMULUI ENDOCRIN
TULBURĂRI ENDOCRINE,BOLI ENDOCRINE
TULBURĂRI GASTRICE,ULCER STOMACAL
TULBURĂRI GASTRO-INTESTINALE,BOLI GASTRO-INTESTINALE
TULBURĂRI MENTALE,BOLI MINTALE
TULBURĂRI MENTALE,TULBURĂRI MINTALE
TULBURĂRI MENTALE,TULBURĂRI PSIHIATRICE
TULBURĂRI NEVROTICE,NEVROZE
TULBURĂRI OBSESIV-COMPULSIVE,NEVROZĂ COMPULSIVĂ
TULBURĂRI OBSESIV-COMPULSIVE,NEVROZĂ OBSESIVĂ
TULBURĂRI OBSESIV-COMPULSIVE,NEVROZĂ OBSESIV-COMPULSIVĂ
TULBURĂRI PSIHOTICE,PSIHOZE
UTILIZARE MASS MEDIA,UTILIZAREA MASS MEDIA
UTILIZAREA CARDULUI DE CREDIT,CARD DE CREDIT
UTILIZAREA CARDULUI DE CREDIT,CARD DE FIDELITATE
UZINE,FABRICI
VAGABONZI,PERSOANE FĂRĂ ADĂPOST
VALORI MORALE,COD MORAL
VALORI MORALE,ORDINE MORALĂ
VALORI MORALE,STANDARD DE ETICĂ
VÂNZARE SI CUMPĂRARE ÎN RATE,LEASING
VARIOLĂ,VĂRSAT DE VÂNT
VÂRSTĂ,ANUL NAȘTERII
VÂRSTA LA IEȘIREA DIN SISTEMUL EDUCAȚIONAL,VÂRSTA DE ABANDON ȘCOLAR
VÂRSTNICI,BĂTRÂNI
VÂRSTNICI,PERSOANE DE VÂRSTA A TREIA
VÂRSTNICI,PERSOANE ÎN VÂRSTĂ
VEGETARIANISM,VEGETARIENI
VEHICULE ELECTRICE DE TRANSPORT,SCAUN PE ROTILE ELECTRIC
VEHICULE ELECTRICE DE TRANSPORT,SCUTER ELECTRIC
VENIT DIN EDUCAȚIE,FONDUL ȘCOLII
VENIT DIN EDUCAȚIE,VENITURI UNIVERSITARE
VENIT DIN EDUCAȚIE,VENITURILE ȘCOLII
VENIT MINIM GARANTAT,SALARII MINIME PE ECONOMIE
VENIT MINIM GARANTAT,VMG
VIAȚĂ COTIDIANĂ,COTIDIAN
VIAȚĂ COTIDIANĂ,VIAȚĂ DE ZI CU ZI
VIAȚĂ DE FAMILIE,DINAMICA FAMILIEI
VIAȚĂ DE FAMILIE,RELAȚII DE FAMILIE
VIAȚĂ DE FAMILIE,RELAȚII FAMILIALE
VINĂ,CULPĂ
VIOLENȚĂ DOMESTICĂ,VIOLENȚĂ FAMILIALĂ
VIOLENȚĂ DOMESTICĂ,VIOLENȚĂ MARITALĂ
VIVISECȚIE,DISECȚIE PE VIU
VIZIONARE,URMĂRIRE
VIZIONAREA TELEVIZIUNII,SPECTATORI TELEVIZUALI
VIZIONAREA TELEVIZIUNII,TELESPECTATORI
VIZITE EDUCAȚIONALE,ȘCOALA ALTFEL
VIZITE EDUCAȚIONALE,EXCURSII ȘCOLARE
VOTARE,VOTURI
VREMEA,STAREA ATMOSFEREI
VREMEA,STAREA VREMII
ZGOMOT DE TRAFIC,ZGOMOT RUTIER
ZONE ACVATICE DE RECREERE,PLAJĂ
ZONE PROTEJATE,ZONE DE CONSERVARE
ZONE URBANE,COMUNITĂȚI URBANE
