Preferred Term,RO PT,Role,Relationship PT,RO Relationship PT
MARRIAGE,CĂSĂTORIE,RT        ,SOCIOLOGY,SOCIOLOGIE
MARRIAGE,CĂSĂTORIE,RT        ,WEDDINGS,CĂSĂTORII
MARRIAGE,CĂSĂTORIE,RT        ,WOMEN'S RIGHTS,DREPTURILE FEMEILOR
MARRIAGE CONTRACTS,CONTRACTE PRENUPȚIALE,BT        ,CONTRACTS AND AGREEMENTS,CONTRACTE ȘI ACORDURI
MARRIAGE CONTRACTS,CONTRACTE PRENUPȚIALE,RT        ,FAMILY LAW,DREPTUL FAMILIEI
MARRIAGE CONTRACTS,CONTRACTE PRENUPȚIALE,RT        ,MARRIAGE,CĂSĂTORIE
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,BT        ,CUSTOMS AND TRADITIONS,OBICEIURI ȘI TRADIȚII
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,BT        ,MARRIAGE,CĂSĂTORIE
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,RT        ,BIGAMY,BIGAMIE
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,RT        ,CLANS,CLANURI
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,RT        ,COUSINS,VERI
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,RT        ,MIXED MARRIAGES,CĂSĂTORII MIXTE
MARRIAGE CUSTOMS,OBICEIURI LA CĂSĂTORIE,RT        ,TRIBES,TRIBURI
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI,NT        ,DIVORCE,DIVORȚ
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI,RT        ,FAMILY DISORGANIZATION,DEZINTEGRARE FAMILIALĂ
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI,RT        ,MARITAL HISTORY,ISTORIE CIVILĂ
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI,RT        ,MARITAL STATUS,STATUT MARITAL
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI,RT        ,MARRIAGE,CĂSĂTORIE
MARRIAGE DISSOLUTION,DESFACEREA CĂSĂTORIEI,RT        ,SEPARATED (STILL MARRIED),DESPĂRȚIȚI (DAR CĂSĂTORIȚI)
MARRIAGE RATE,RATA NUPȚIALITĂȚII,BT        ,SOCIAL INDICATORS,INDICATORI SOCIALI
MARRIAGE RATE,RATA NUPȚIALITĂȚII,BT        ,VITAL STATISTICS,MIȘCAREA NATURALĂ A POPULAȚIEI
MARRIAGE RATE,RATA NUPȚIALITĂȚII,RT        ,MARRIAGE,CĂSĂTORIE
MARRIAGE RATE,RATA NUPȚIALITĂȚII,RT        ,NUPTIALITY,NUPȚIALITATE
MARRIAGE RATE,RATA NUPȚIALITĂȚII,RT        ,WEDDINGS,CĂSĂTORII
MARRIED,CĂSĂTORIT,BT        ,MARITAL STATUS,STATUT MARITAL
MARRIED,CĂSĂTORIT,NT        ,MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI
MARRIED,CĂSĂTORIT,NT        ,MARRIED WOMEN,FEMEI CĂSĂTORITE
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI,BT        ,MARRIED,CĂSĂTORIT
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI,RT        ,FATHERS,TAȚI
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI,RT        ,MARRIED WOMEN,FEMEI CĂSĂTORITE
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI,RT        ,MEN,BĂRBAȚI
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI,RT        ,PARENTS,PĂRINȚI
MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI,RT        ,SPOUSES,SOȚI SAU SOȚII
MARRIED WOMEN,FEMEI CĂSĂTORITE,BT        ,MARRIED,CĂSĂTORIT
MARRIED WOMEN,FEMEI CĂSĂTORITE,RT        ,MARRIED MEN,BĂRBAȚI CĂSĂTORIȚI
MARRIED WOMEN,FEMEI CĂSĂTORITE,RT        ,MARRIED WOMEN WORKERS,FEMEI CĂSĂTORITE ANGAJATE
MARRIED WOMEN,FEMEI CĂSĂTORITE,RT        ,MOTHERS,MAME
MARRIED WOMEN,FEMEI CĂSĂTORITE,RT        ,PARENTS,PĂRINȚI
MARRIED WOMEN,FEMEI CĂSĂTORITE,RT        ,SPOUSES,SOȚI SAU SOȚII
MARRIED WOMEN,FEMEI CĂSĂTORITE,RT        ,WOMEN,FEMEI
MARRIED WOMEN WORKERS,FEMEI CĂSĂTORITE ANGAJATE,BT        ,WORKING WOMEN,FEMEI LUCRĂTOARE
MARRIED WOMEN WORKERS,FEMEI CĂSĂTORITE ANGAJATE,RT        ,MARRIED WOMEN,FEMEI CĂSĂTORITE
MARRIED WOMEN WORKERS,FEMEI CĂSĂTORITE ANGAJATE,RT        ,WORKING MOTHERS,MAME LUCRĂTOARE
MARXISM,MARXISM,BT        ,COMMUNISM,COMUNISM
MASS COMMUNICATION,COMUNICARE DE MASĂ,BT        ,COMMUNICATIONS,COMUNICARE
MASS COMMUNICATION,COMUNICARE DE MASĂ,NT        ,ADVERTISING,PUBLICITATE
MASS COMMUNICATION,COMUNICARE DE MASĂ,NT        ,MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MASS COMMUNICATION,COMUNICARE DE MASĂ,NT        ,NEWS,ȘTIRI
MASS COMMUNICATION,COMUNICARE DE MASĂ,NT        ,PUBLIC RELATIONS,RELAȚII PUBLICE
MASS COMMUNICATION,COMUNICARE DE MASĂ,RT        ,LOBBYING,PERSUASIUNE POLITICĂ
MASS COMMUNICATION,COMUNICARE DE MASĂ,RT        ,MASS CULTURE,CULTURĂ DE MASĂ
MASS COMMUNICATION,COMUNICARE DE MASĂ,RT        ,MASS MEDIA USE,UTILIZARE MASS MEDIA
MASS COMMUNICATION,COMUNICARE DE MASĂ,RT        ,PUBLIC OPINION,OPINIE PUBLICĂ
MASS CULTURE,CULTURĂ DE MASĂ,BT        ,CULTURE,CULTURĂ
MASS CULTURE,CULTURĂ DE MASĂ,RT        ,MASS COMMUNICATION,COMUNICARE DE MASĂ
MASS CULTURE,CULTURĂ DE MASĂ,RT        ,MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,BT        ,MASS COMMUNICATION,COMUNICARE DE MASĂ
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,NT        ,BROADCASTING,DIFUZARE TELEVIZATĂ ȘI RADIOFONICĂ
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,NT        ,JOURNALISM,JURNALISM
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,NT        ,MASS MEDIA COVERAGE,ACOPERIRE MASS MEDIA
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,NT        ,MASS MEDIA EXPOSURE,EXPUNERE MASS MEDIA
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,NT        ,MASS MEDIA USE,UTILIZARE MASS MEDIA
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,NT        ,PRESS,PRESĂ
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,RT        ,MASS CULTURE,CULTURĂ DE MASĂ
MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ,RT        ,MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA
MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA,BT        ,MASS MEDIA COVERAGE,ACOPERIRE MASS MEDIA
MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA,RT        ,MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA,RT        ,MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA
MASS MEDIA COVERAGE,ACOPERIRE MASS MEDIA,BT        ,MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MASS MEDIA COVERAGE,ACOPERIRE MASS MEDIA,NT        ,MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA
MASS MEDIA EXPOSURE,EXPUNERE MASS MEDIA,BT        ,MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MASS MEDIA EXPOSURE,EXPUNERE MASS MEDIA,RT        ,MASS MEDIA USE,UTILIZARE MASS MEDIA
MASS MEDIA USE,UTILIZARE MASS MEDIA,BT        ,INFORMATION USE,UTILIZAREA INFORMAȚIEI
MASS MEDIA USE,UTILIZARE MASS MEDIA,BT        ,MASS MEDIA,MIJLOACE DE INFORMARE ÎN MASĂ
MASS MEDIA USE,UTILIZARE MASS MEDIA,NT        ,MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA
MASS MEDIA USE,UTILIZARE MASS MEDIA,NT        ,RADIO LISTENING,A ASCULTA LA RADIO
MASS MEDIA USE,UTILIZARE MASS MEDIA,NT        ,READERSHIP,CITITORI
MASS MEDIA USE,UTILIZARE MASS MEDIA,NT        ,TELEVISION VIEWING,VIZIONAREA TELEVIZIUNII
MASS MEDIA USE,UTILIZARE MASS MEDIA,RT        ,MASS COMMUNICATION,COMUNICARE DE MASĂ
MASS MEDIA USE,UTILIZARE MASS MEDIA,RT        ,MASS MEDIA EXPOSURE,EXPUNERE MASS MEDIA
MASS MEDIA USE,UTILIZARE MASS MEDIA,RT        ,PERIODICALS READERSHIP,CITITORI DE REVISTE
MASS OBSERVATION,OBSERVAREA MASELOR,BT        ,OBSERVATION (DATA COLLECTION),OBSERVAȚIE (COLECTARE DE DATE)
MASSAGE,MASAJ,BT        ,PHYSIOTHERAPY,FIZIOTERAPIE
MATERIALISM,MATERIALISM,BT        ,PHILOSOPHICAL SCHOOLS,ȘCOLI FILOSOFICE
MATERIALS,MATERIALE,BT        ,PRODUCTS,PRODUSE
MATERIALS,MATERIALE,NT        ,BUILDING MATERIALS,MATERIALE DE CONSTRUCȚIE
MATERIALS,MATERIALE,NT        ,DANGEROUS MATERIALS,MATERIALE PERICULOASE
MATERIALS,MATERIALE,NT        ,TEXTILES,TEXTILE
MATERIALS,MATERIALE,RT        ,CHEMISTRY,CHIMIE
MATERNAL MORTALITY,MORTALITATE MATERNĂ,BT        ,MORTALITY,MORTALITATE
MATERNAL MORTALITY,MORTALITATE MATERNĂ,BT        ,SOCIAL INDICATORS,INDICATORI SOCIALI
MATERNAL MORTALITY,MORTALITATE MATERNĂ,RT        ,CHILDBIRTH,NAȘTERE
MATERNAL MORTALITY,MORTALITATE MATERNĂ,RT        ,DEATH,MOARTE
MATERNITY LEAVE,CONCEDIU DE MATERNITATE,BT        ,PARENTAL LEAVE,CONCEDIU PARENTAL
MATERNITY LEAVE,CONCEDIU DE MATERNITATE,RT        ,MATERNITY PAY,ALOCAȚIE DE MATERNITATE
MATERNITY LEAVE,CONCEDIU DE MATERNITATE,RT        ,MATERNITY SERVICES,SERVICII DE MATERNITATE
MATERNITY LEAVE,CONCEDIU DE MATERNITATE,RT        ,PARENTAL BENEFITS,BENEFICII PENTRU PĂRINȚI
MATERNITY LEAVE,CONCEDIU DE MATERNITATE,RT        ,PATERNITY LEAVE,CONCEDIU DE PATERNITATE
MATERNITY PAY,ALOCAȚIE DE MATERNITATE,BT        ,WAGES,SALARII
MATERNITY PAY,ALOCAȚIE DE MATERNITATE,RT        ,MATERNITY LEAVE,CONCEDIU DE MATERNITATE
MATERNITY PAY,ALOCAȚIE DE MATERNITATE,RT        ,SOCIAL SECURITY BENEFITS,AJUTOARE SOCIALE
MATERNITY SERVICES,SERVICII DE MATERNITATE,BT        ,HEALTH SERVICES,SERVICII DE SĂNĂTATE
MATERNITY SERVICES,SERVICII DE MATERNITATE,RT        ,CHILDBIRTH,NAȘTERE
MATERNITY SERVICES,SERVICII DE MATERNITATE,RT        ,MATERNITY LEAVE,CONCEDIU DE MATERNITATE
MATERNITY SERVICES,SERVICII DE MATERNITATE,RT        ,OBSTETRICS,OBSTETRICĂ
MATERNITY SERVICES,SERVICII DE MATERNITATE,RT        ,PREGNANCY,SARCINĂ (GRAVIDITATE)
MATHEMATICAL MODELS,MODELE MATEMATICE,BT        ,MODELLING,MODELARE
MATHEMATICAL MODELS,MODELE MATEMATICE,BT        ,STATISTICS,STATISTICĂ
MATHEMATICAL MODELS,MODELE MATEMATICE,RT        ,ESTIMATION,ESTIMĂRI
MATHEMATICS,MATEMATICĂ,NT        ,ARITHMETIC,ARITMETICĂ
MATHEMATICS,MATEMATICĂ,NT        ,STATISTICS,STATISTICĂ
MATHEMATICS,MATEMATICĂ,RT        ,MATHEMATICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ
MATHEMATICS AND STATISTICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ ȘI STATISTICĂ,BT        ,SCIENCE, MATHEMATICS AND COMPUTING EDUCATION
MATHEMATICS AND STATISTICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ ȘI STATISTICĂ,NT        ,MATHEMATICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ
MATHEMATICS AND STATISTICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ ȘI STATISTICĂ,NT        ,STATISTICS EDUCATION,EDUCAȚIE ÎN STATISTICĂ
MATHEMATICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ,BT        ,MATHEMATICS AND STATISTICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ ȘI STATISTICĂ
MATHEMATICS EDUCATION,EDUCAȚIE ÎN MATEMATICĂ,RT        ,MATHEMATICS,MATEMATICĂ
MAYORS,PRIMARI,BT        ,POLITICIANS,POLITICIENI
MAYORS,PRIMARI,RT        ,COUNCILLORS,CONSILIERI (MEMBRII AI UNUI CONSILIU)
MEASLES,POJAR,BT        ,BACTERIAL AND VIRUS DISEASES,BOLI BACTERIOLOGICE ȘI VIRALE
MEASUREMENTS,MĂSURĂTORI,NT        ,ANTHROPOMETRIC DATA,DATE ANTROPOMETRICE
MEASUREMENTS,MĂSURĂTORI,NT        ,DIMENSIONAL MEASUREMENTS ,MĂSURĂRI ALE DIMENSIUNII
MEASUREMENTS,MĂSURĂTORI,NT        ,METEOROLOGICAL MEASUREMENTS,MĂSURĂTORI METEREOLOGICE
MEASUREMENTS,MĂSURĂTORI,NT        ,NOISE MEASUREMENTS,MĂSURĂTORI DE ZGOMOT
MEASUREMENTS,MĂSURĂTORI,NT        ,PERFORMANCE INDICATORS,INDICATORI AI PERFORMANȚEI
MEASUREMENTS,MĂSURĂTORI,NT        ,QUANTITY,CANTITATE
MEASUREMENTS,MĂSURĂTORI,NT        ,TEMPERATURE,TEMPERATURĂ
MEASUREMENTS,MĂSURĂTORI,NT        ,TIME SYSTEMS,SISTEME DE TIMP
MEASUREMENTS,MĂSURĂTORI,NT        ,UNITS OF MEASUREMENT,UNITĂȚI DE MĂSURARE
MEASUREMENTS,MĂSURĂTORI,NT        ,VELOCITY,VITEZĂ
MEASUREMENTS,MĂSURĂTORI,RT        ,CLINICAL TESTS AND MEASUREMENTS,MĂSURĂTORI ȘI TESTE CLINICE
MEASUREMENTS,MĂSURĂTORI,RT        ,POLITICAL INDICATORS,INDICATORI POLITICI
MEASUREMENTS,MĂSURĂTORI,RT        ,STANDARDIZATION,STANDARDIZARE
MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA,BT        ,ABILITY,COMPETENȚĂ
MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA,BT        ,MASS MEDIA USE,UTILIZARE MASS MEDIA
MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA,RT        ,COMMUNICATION SKILLS,ABILITĂȚI DE COMUNICARE
MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA,RT        ,INFORMATION SOCIETY,SOCIETATE INFORMAȚIONALĂ
MEDIA LITERACY,COMPETENȚE DE UTILIZARE A MASS MEDIA,RT        ,MASS MEDIA BIAS,PĂRTINIRE ÎN MASS MEDIA
MEDIA STUDIES,STUDII MEDIA,BT        ,COMMUNICATION AND INFORMATION STUDIES,STUDII DE COMUNICARE ȘI INFORMAȚII
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,BT        ,MEDICAL SCIENCES,ȘTIINȚE MEDICALE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,BLOOD DONATION,DONARE DE SÎNGE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,CLINICAL PROTOCOLS,PROTOCOALE CLINICE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,DENTAL CARE,ÎNGRIJIRE DENTARĂ
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,HEALTH ADVICE,SFATURI MEDICALE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,HEALTH CONSULTATIONS,CONSULTAȚII MEDICALE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,MEDICAL NEGLIGENCE,NEGLIJENȚĂ MEDICALĂ
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,NT        ,NURSING CARE,ÎNGRIJIRE OFERITĂ DE CĂTRE ASISTENTELE MEDICALE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,RT        ,CARE,ÎNGRIJIRE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,RT        ,CARE OF THE SICK,ÎNGRIJIREA BOLNAVILOR
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,RT        ,CLINICAL PSYCHOLOGY,PSIHOLOGIE CLINICĂ
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,RT        ,HEALTH SERVICES,SERVICII DE SĂNĂTATE
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,RT        ,HOSPITAL SERVICES,SERVICII SPITALICEȘTI
MEDICAL CARE,ASISTENȚĂ MEDICALĂ,RT        ,PREVENTIVE MEDICINE,MEDICINĂ PREVENTIVĂ
MEDICAL CENTRES,CENTRE MEDICALE,BT        ,HEALTH CARE FACILITIES,INFRASTRUCTURĂ PENTRU SERVICII DE SĂNĂTATE
MEDICAL CENTRES,CENTRE MEDICALE,RT        ,HOSPITAL SERVICES,SERVICII SPITALICEȘTI
MEDICAL CENTRES,CENTRE MEDICALE,RT        ,INSTITUTIONS,INSTITUȚII
MEDICAL CENTRES,CENTRE MEDICALE,RT        ,LOCAL COMMUNITY FACILITIES,INFRASTRUCTURĂ PENTRU COMUNITĂȚI LOCALE
MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL,BT        ,MEDICAL CARE,ASISTENȚĂ MEDICALĂ
MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL,RT        ,CLINICAL TESTS AND MEASUREMENTS,MĂSURĂTORI ȘI TESTE CLINICE
MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL,RT        ,HEALTH CONSULTATIONS,CONSULTAȚII MEDICALE
MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL,RT        ,SELF-TESTING KITS (MEDICAL),DISPOZITIVE (MEDICALE) DE AUTOTESTARE
MEDICAL DIAGNOSIS,DIAGNOSTIC MEDICAL,RT        ,SOCIO-MEDICAL INDICES,INDICI SOCIO-MEDICALI
MEDICAL DIETS,DIETE MEDICALE,BT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
MEDICAL DIETS,DIETE MEDICALE,BT        ,SPECIAL DIETS,DIETE SPECIALE
MEDICAL EQUIPMENT AND SUPPLIES,ECHIPAMENT MEDICAL ȘI CONSUMABILE,BT        ,EQUIPMENT,ECHIPAMENT
MEDICAL EQUIPMENT AND SUPPLIES,ECHIPAMENT MEDICAL ȘI CONSUMABILE,NT        ,AIDS FOR THE DISABLED,AJUTOARE PENTRU PERSOANE CU DIZABILITĂȚI
MEDICAL EQUIPMENT AND SUPPLIES,ECHIPAMENT MEDICAL ȘI CONSUMABILE,RT        ,MEDICAL SCIENCES,ȘTIINȚE MEDICALE
MEDICAL ETHICS,ETICĂ MEDICALĂ,BT        ,ETHICS OF SCIENCE,ETICĂ ȘTIINȚIFICĂ
MEDICAL ETHICS,ETICĂ MEDICALĂ,BT        ,PROFESSIONAL ETHICS,ETICĂ PROFESIONALĂ
MEDICAL ETHICS,ETICĂ MEDICALĂ,RT        ,MEDICAL SCIENCES,ȘTIINȚE MEDICALE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,BT        ,MEDICAL CARE,ASISTENȚĂ MEDICALĂ
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,BREAST SCREENING,MAMOGRAFIE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,CERVICAL SMEARS,FROTIU CERVICAL
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,CLINICAL TESTS AND MEASUREMENTS,MĂSURĂTORI ȘI TESTE CLINICE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,DENTAL EXAMINATIONS,CONTROL STOMATOLOGIC
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,EYESIGHT TESTS,TESTE DE VEDERE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,GENETIC SCREENING,EXAMINARE GENETICĂ
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,HEARING TESTS,TESTE AUDITIVE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,MEDICAL X-RAYS,RAZE X-MEDICALE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,NT        ,SELF-TESTING KITS (MEDICAL),DISPOZITIVE (MEDICALE) DE AUTOTESTARE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,RT        ,HEALTH CONSULTATIONS,CONSULTAȚII MEDICALE
MEDICAL EXAMINATIONS,EXAMINĂRI MEDICALE,RT        ,PREVENTIVE MEDICINE,MEDICINĂ PREVENTIVĂ
MEDICAL HISTORY,ISTORIC MEDICAL,BT        ,HEALTH,SĂNĂTATE
MEDICAL HISTORY,ISTORIC MEDICAL,BT        ,LIFE HISTORIES,ISTORII DE VIAȚĂ
MEDICAL HISTORY,ISTORIC MEDICAL,RT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
MEDICAL INSURANCE,ASIGURARE MEDICALĂ,BT        ,INSURANCE,ASIGURARE
MEDICAL INSURANCE,ASIGURARE MEDICALĂ,RT        ,FRINGE BENEFITS,BENEFICII EXTRA-SALARIALE
MEDICAL INSURANCE,ASIGURARE MEDICALĂ,RT        ,LIFE INSURANCE,ASIGURĂRI DE VIAȚĂ
MEDICAL INSURANCE,ASIGURARE MEDICALĂ,RT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
MEDICAL INSURANCE,ASIGURARE MEDICALĂ,RT        ,PRIVATE HEALTH SERVICES,SERVICII DE SĂNĂTATE ÎN UNITĂȚI PRIVATE
MEDICAL NEGLIGENCE,NEGLIJENȚĂ MEDICALĂ,BT        ,MEDICAL CARE,ASISTENȚĂ MEDICALĂ
MEDICAL NEGLIGENCE,NEGLIJENȚĂ MEDICALĂ,BT        ,NEGLIGENCE (LEGAL),NEGLIJENȚĂ (JURIDIC)
MEDICAL PRESCRIPTIONS,PRESCRIPȚII MEDICALE,BT        ,MEDICAL TREATMENT METHODS,METODE DE TRATAMENT MEDICAL
MEDICAL PRESCRIPTIONS,PRESCRIPȚII MEDICALE,NT        ,PRESCRIPTION DRUGS,MEDICAMENTE PE BAZĂ DE REȚETĂ
MEDICAL PRESCRIPTIONS,PRESCRIPȚII MEDICALE,RT        ,DRUG THERAPY,TRATAMENT MEDICAMENTOS
MEDICAL PRESCRIPTIONS,PRESCRIPȚII MEDICALE,RT        ,DRUGS,MEDICAMENTE ȘI DROGURI
MEDICAL PRESCRIPTIONS,PRESCRIPȚII MEDICALE,RT        ,PHARMACISTS,FARMACIȘTI
MEDICAL PROFESSION,PROFESIE MEDICALĂ,BT        ,HEALTH PROFESSIONS,PROFESII DIN DOMENIUL SĂNĂTĂȚII
MEDICAL PROFESSION,PROFESIE MEDICALĂ,RT        ,MEDICAL SCIENCES,ȘTIINȚE MEDICALE
MEDICAL PROFESSION,PROFESIE MEDICALĂ,RT        ,PHYSICIANS,MEDICI
MEDICAL PROFESSION,PROFESIE MEDICALĂ,RT        ,PROFESSIONAL OCCUPATIONS,OCUPAȚII PROFESIONALE
MEDICAL PROFESSION,PROFESIE MEDICALĂ,RT        ,PSYCHIATRISTS,PSIHIATRII
MEDICAL PROFESSION,PROFESIE MEDICALĂ,RT        ,SURGEONS,MEDICI CHIRURGI
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,GERIATRICS,GERIATRIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,GYNAECOLOGY,GINECOLOGIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,MEDICAL CARE,ASISTENȚĂ MEDICALĂ
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,MEDICAL SPECIALITIES,SPECIALIZĂRI MEDICALE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,OBSTETRICS,OBSTETRICĂ
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,ORTHOPAEDICS,ORTOPEDIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,PAEDIATRICS,PEDIATRIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,PATHOLOGY,PATOLOGIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,PREVENTIVE MEDICINE,MEDICINĂ PREVENTIVĂ
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,PSYCHIATRY,PSIHIATRIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,SPORTS MEDICINE,MEDICINĂ SPORTIVĂ ȘI FIZICĂ
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,SURGERY,CHIRURGIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,NT        ,VETERINARY MEDICINE,MEDICINĂ VETERINARĂ
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,BIOLOGY,BIOLOGIE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HEALTH,SĂNĂTATE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HEALTH PROFESSIONALS,ANGAJAȚI ÎN SERVICIILE DE SĂNĂTATE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HEALTH PROFESSIONS,PROFESII DIN DOMENIUL SĂNĂTĂȚII
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HEALTH SERVICES,SERVICII DE SĂNĂTATE
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HEALTH-RELATED BIOTECHNOLOGY,CERCETARE MEDICALĂ
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HOSPITAL SERVICES,SERVICII SPITALICEȘTI
MEDICAL SCIENCES,ȘTIINȚE MEDICALE,RT        ,HUMAN BIOLOGY,BIOLOGIE UMANĂ
