RO Preferred Term ,English PT
DISCIPLINĂ ȘCOLARĂ,SCHOOL DISCIPLINE
DISCRIMINARE,DISCRIMINATION
DISCRIMINARE EDUCAȚIONALĂ,EDUCATIONAL DISCRIMINATION
DISCRIMINARE PE BAZA ORIENTĂRII SEXUALE,DISCRIMINATION AGAINST HOMOSEXUALS
DISCRIMINARE PE CRITERII DE GEN,SEX DISCRIMINATION
DISCRIMINARE PE CRITERII DE NAȚIONALITATE,NATIONALITY DISCRIMINATION
DISCRIMINARE PE CRITERII DE VÂRSTĂ,AGE DISCRIMINATION
DISCRIMINARE PE CRITERII LINGVISTICE,LANGUAGE DISCRIMINATION
DISCRIMINARE PE CRITERII RELIGIOASE,RELIGIOUS DISCRIMINATION
DISCRIMINARE RASIALĂ,RACIAL DISCRIMINATION
DISCRIMINAREA PERSOANELOR CU DIZABILITĂȚI,DISABILITY DISCRIMINATION
DISCURS,SPEECH
DISEMINAREA INFORMAȚIEI,DISSEMINATION OF INFORMATION
DISLEXIE,DYSLEXIA
DISPEPSIE,DYSPEPSIA
DISPONIBILIZARE PERMANENTĂ,REDUNDANCY
DISPONIBILIZARE TEMPORARĂ,LAY-OFFS
DISPOZITIVE (MEDICALE) DE AUTOTESTARE,SELF-TESTING KITS (MEDICAL)
DISPOZITIVE OPTICE,OPTICAL DEVICES
DISTRIBUȚIA POPULAȚIEI,POPULATION DISTRIBUTION
DISTRIBUȚIA VENITURILOR,INCOME DISTRIBUTION
DISTRIBUȚIE PE VÂRSTE,AGE DISTRIBUTION
DISTRUGEREA STRATULUI DE OZON,OZONE LAYER DESTRUCTION
DISTRUGERI,CRIMINAL DAMAGE
DIVERTISMENT,ENTERTAINMENT
DIVORȚ,DIVORCE
DIVORȚAȚI,DIVORCED
DIZABILITĂȚI,DISABILITIES
DIZABILITĂȚI FIZICE,PHYSICAL DISABILITIES
DOBÂNDĂ (FINANȚE),INTEREST (FINANCE)
DOCHERI,DOCKERS
DOCTRINE ECONOMICE,ECONOMIC DOCTRINES
DOCTRINE POLITICE,POLITICAL DOCTRINES
DOCTRINE RELIGIOASE,RELIGIOUS DOCTRINES
DOCURI,DOCKS
DOMENII DE STUDIU,FIELDS OF STUDY
DONAȚII DE CARITATE,DONATIONS TO CHARITY
DONARE DE ORGANE,ORGAN DONATION
DONARE DE SÎNGE,BLOOD DONATION
DOSAR PENAL,CRIMINAL RECORD
DOVEZI,EVIDENCE
DREPT (LEGISLAȚIE),LAW
DREPT ADMINISTRATIV,ADMINISTRATIVE LAW
DREPT CIVIL,CIVIL LAW
DREPT COMERCIAL,COMMERCIAL LAW
DREPT CONSTITUȚIONAL,CONSTITUTIONAL LAW
DREPT CONTRACTUAL,CONTRACT LAW
DREPT DE POSESIUNE FUNCIARĂ,LAND TENURE
DREPT DE PROPRIETATE ASUPRA LOCUINȚEI,HOME OWNERSHIP
DREPT DE PROPRIETATE, POSESIUNE ȘI FOLOSINȚĂ
DREPT IMOBILIAR,REAL PROPERTY LAW
DREPT INTERNAȚIONAL,INTERNATIONAL LAW
DREPT INTERNAȚIONAL UMANITAR,INTERNATIONAL HUMANITARIAN LAW
DREPT LA INFORMAȚIE,RIGHT TO INFORMATION
DREPT PENAL,CRIMINAL LAW
DREPT PUBLIC,PUBLIC LAW
DREPT SUCCESORAL,INHERITANCE LAW
DREPTUL DE A MUNCI,RIGHT TO WORK
DREPTUL DE A VOTA ȘI DE A FI ALES,SUFFRAGE
DREPTUL DE ASOCIERE,RIGHT OF ASSOCIATION
DREPTUL DE TRECERE,RIGHT OF WAY
DREPTUL FAMILIEI,FAMILY LAW
DREPTUL LA AZIL POLITIC,RIGHT TO POLITICAL ASYLUM
DREPTUL LA CONFIDENȚIALITATE,RIGHT TO CONFIDENTIALITY
DREPTUL LA EDUCAȚIE,RIGHT TO EDUCATION
DREPTUL LA INTIMITATE,RIGHT TO PRIVACY
DREPTUL LA JUSTIȚIE,RIGHT TO JUSTICE
DREPTUL LA MOARTE,RIGHT TO DIE
DREPTUL LA NAȚIONALITATE,RIGHT TO NATIONALITY
DREPTUL LA NEDISCRIMINARE,RIGHT TO NON-DISCRIMINATION
DREPTUL LA PROPRIETATE,RIGHT TO PROPERTY
DREPTUL LA STANDARDE ADECVATE DE TRAI,RIGHT TO ADEQUATE LIVING STANDARDS
DREPTUL LA VENITUL MINIM,RIGHT TO A MINIMUM INCOME
DREPTUL MUNCII,LABOUR LAW
DREPTURI CIVILE ȘI POLITICE,CIVIL AND POLITICAL RIGHTS
DREPTURI COMUNE,COMMON RIGHTS
DREPTURI CULTURALE,CULTURAL RIGHTS
DREPTURI DE AUTOR,ROYALTIES
DREPTURI DE PESCUIT,FISHING RIGHTS
DREPTURI ECONOMICE ȘI SOCIALE,SOCIAL AND ECONOMIC RIGHTS
DREPTURI EGALE PENTRU BĂRBAȚI ȘI FEMEI,EQUAL RIGHTS OF MEN AND WOMEN
DREPTURI ȘI PRIVILEGII,RIGHTS AND PRIVILEGES
DREPTURI PRIVIND ACCESUL PUBLIC,PUBLIC ACCESS RIGHTS
DREPTURI SINDICALE,TRADE UNION RIGHTS
DREPTURILE ACUZATULUI,RIGHTS OF ACCUSED
DREPTURILE ANIMALELOR,ANIMAL RIGHTS
DREPTURILE COPILULUI,RIGHTS OF THE CHILD
DREPTURILE FEMEILOR,WOMEN'S RIGHTS
DREPTURILE GRUPURILOR SPECIALE,RIGHTS OF SPECIAL GROUPS
DREPTURILE MUNCITORILOR,WORKERS' RIGHTS
DREPTURILE OMULUI,HUMAN RIGHTS
DREPTURILE PRIZONIERILOR,RIGHTS OF PRISONERS
DREPTURILE STUDENȚILOR,RIGHTS OF STUDENTS
DRUMEȚIE PE MUNTE,HIKING
DRUMURI ȘI ȘOSELE,ROADS
DRUMURI PENTRU CAI,BRIDLEWAYS
DURERE,PAIN
DURERE DE SPATE,BACK PAIN
DURERI DE CAP,HEADACHES
ECHILIBRU INTERNAȚIONAL,INTERNATIONAL EQUILIBRIUM
ECHIPAMENT,EQUIPMENT
ECHIPAMENT AGRICOL,AGRICULTURAL EQUIPMENT
ECHIPAMENT AUDIO,AUDIO EQUIPMENT
ECHIPAMENT AUDIO ȘI VIDEO,AUDIO AND VIDEO EQUIPMENT
ECHIPAMENT DE COMUNICAȚII,COMMUNICATIONS EQUIPMENT
ECHIPAMENT DE PROTECȚIE,SAFETY EQUIPMENT
ECHIPAMENT DE PROTECȚIE ÎN CAZ DE INCENDIU,FIRE PROTECTION EQUIPMENT
ECHIPAMENT DE PROTECȚIE PENTRU CAP,PROTECTIVE HEADWEAR
ECHIPAMENT ELECTRIC,ELECTRICAL EQUIPMENT
ECHIPAMENT ELECTRONIC,ELECTRONIC EQUIPMENT
ECHIPAMENT MEDICAL ȘI CONSUMABILE,MEDICAL EQUIPMENT AND SUPPLIES
ECHIPAMENT PERSONAL DE PROTECȚIE,PERSONAL PROTECTIVE GEAR
ECHIPAMENT SPORTIV,SPORTS EQUIPMENT
ECOLOGIE,ECOLOGY
ECOLOGIE UMANĂ,HUMAN ECOLOGY
ECONOMIA AFACERILOR,BUSINESS ECONOMICS
ECONOMIA DE BUNĂSTARE,WELFARE ECONOMICS
ECONOMIA EDUCAȚIEI,ECONOMICS OF EDUCATION
ECONOMIA MUNCII,LABOUR ECONOMICS
ECONOMIA TRANSPORTURILOR,TRANSPORT ECONOMICS
ECONOMIE,ECONOMICS
ECONOMIE AGRICOLĂ,AGRICULTURAL ECONOMICS
ECONOMIE COLECTIVĂ,COLLECTIVE ECONOMY
ECONOMIE CULTURALĂ,CULTURAL ECONOMICS
ECONOMIE DE PIAȚĂ,MARKET ECONOMY
ECONOMIE DE TRANZIȚIE,TRANSITION ECONOMIES
ECONOMIE FUNCIARĂ,LAND ECONOMICS
ECONOMIE INDUSTRIALĂ,INDUSTRIAL ECONOMICS
ECONOMIE INFORMALĂ,INFORMAL ECONOMY
ECONOMIE INTERNAȚIONALĂ,INTERNATIONAL ECONOMICS
ECONOMIE MIXTĂ,MIXED ECONOMY
ECONOMIE MONETARĂ,MONETARY ECONOMICS
ECONOMIE NAȚIONALĂ,NATIONAL ECONOMY
ECONOMIE PLANIFICATĂ,PLANNED ECONOMY
ECONOMIE REGIONALĂ,REGIONAL ECONOMY
ECONOMIE RURALĂ,RURAL ECONOMICS
ECONOMIE SOCIALĂ,SOCIAL ECONOMY
ECONOMII,SAVINGS
ECONOMIȘTI,ECONOMISTS
EDITARE,EDITING
EDITORI ȘI REDACTORI,EDITORS
EDUCA?IE AGRICOLA,AGRICULTURE EDUCATION
EDUCAȚIA ADULȚILOR,ADULT EDUCATION
EDUCAȚIA FEMEILOR,WOMEN'S EDUCATION
EDUCAȚIE,EDUCATION
EDUCAȚIE AGRICOLĂ ȘI VETERINARĂ,AGRICULTURE AND VETERINARY EDUCATION
EDUCAȚIE ARHEOLOGICĂ,ARCHAEOLOGY EDUCATION
EDUCAȚIE ARTISTICĂ,ARTS EDUCATION
EDUCAȚIE CIVICĂ,CIVIC EDUCATION
EDUCAȚIE DE STAT,STATE EDUCATION
EDUCAȚIE FILOSOFICĂ,PHILOSOPHY EDUCATION
EDUCAȚIE FIZICĂ,PHYSICAL EDUCATION
EDUCAȚIE GIMNAZIALĂ,LOWER SECONDARY EDUCATION
EDUCAȚIE ȘI PROMOVARE A SĂNĂTĂȚII,HEALTH PROMOTION AND EDUCATION
EDUCAȚIE ÎMPOTRIVA CONSUMULUI ȘI UTILIZĂRII DROGURILOR,DRUG EDUCATION
EDUCAȚIE ÎN ANTROPOLOGIE,ANTHROPOLOGY EDUCATION
EDUCAȚIE ÎN ARHITECTURĂ ȘI CONSTRUCȚII,ARCHITECTURE AND BUILDING EDUCATION
EDUCAȚIE ÎN ARHITECTURĂ ȘI PLANIFICARE URBANĂ,ARCHITECTURE AND TOWN PLANNING EDUCATION
EDUCAȚIE ÎN ARTA GRAFICĂ ȘI AUDIOVIZUALĂ,GRAPHIC AND AUDIO-VISUAL ARTS EDUCATION
EDUCAȚIE ÎN ARTA SPECTACOLULUI,PERFORMING ARTS EDUCATION
EDUCAȚIE ÎN ARTE FRUMOASE,FINE ARTS EDUCATION
EDUCAȚIE ÎN ARTE ȘI ȘTIINȚELE UMANISTE,HUMANITIES AND ARTS EDUCATION
EDUCAȚIE ÎN BIBLIOTECONOMIE, ARHIVISTICĂ ȘI ȘTIINȚELE INFORMĂRII ȘI DOCUMENTĂRII
EDUCAȚIE ÎN ȘCOLILE PROFESIONALE, VOCAȚIONALE ȘI DE UCENICI
EDUCAȚIE ÎN CRIMINOLOGIE,CRIMINOLOGY EDUCATION
EDUCAȚIE ÎN DEMOGRAFIE,DEMOGRAPHY EDUCATION
EDUCAȚIE ÎN DOMENIUL ACTIVITĂȚILOR DE RECREERE,RECREATIONAL EDUCATION
EDUCAȚIE ÎN DOMENIUL CONSTRUCȚIEI CLĂDIRILOR,BUILDING CONSTRUCTION EDUCATION
EDUCAȚIE ÎN DOMENIUL DREPTULUI, AFACERILOR ȘI AL ȘTIINȚELOR SOCIALE
EDUCAȚIE ÎN DOMENIUL FABRICĂRII ȘI PRELUCRĂRII MANUALE,MANUFACTURING AND PROCESSING EDUCATION
EDUCAȚIE ÎN DOMENIUL INFORMATICII ȘI CALCULATOARELOR,COMPUTER SCIENCE EDUCATION
EDUCAȚIE ÎN DOMENIUL INGINERIEI CIVILE,CIVIL ENGINEERING EDUCATION
EDUCAȚIE ÎN DOMENIUL PLANIFICĂRII FAMILIALE,POPULATION EDUCATION
EDUCAȚIE ÎN DOMENIUL SĂNĂTĂȚII,HEALTH EDUCATION
EDUCAȚIE ÎN DOMENIUL SERVICIILOR,SERVICES EDUCATION
EDUCAȚIE ÎN DOMENIUL SERVICIILOR DE SECURITATE,SECURITY SERVICES EDUCATION
EDUCAȚIE ÎN DOMENIUL SERVICIILOR MEDICALE,MEDICAL SERVICES EDUCATION
EDUCAȚIE ÎN DOMENIUL SERVICIILOR PERSONALE,PERSONAL SERVICES EDUCATION
EDUCAȚIE ÎN DOMENIUL SERVICIILOR SOCIALE,SOCIAL SERVICES EDUCATION
EDUCAȚIE ÎN DOMENIUL ȘTIINȚELOR,SCIENCE EDUCATION
EDUCAȚIE ÎN DOMENIUL ȘTIINȚELOR, MATEMATICII ȘI AL INFORMATICII
EDUCAȚIE ÎN DREPT,LAW EDUCATION
EDUCAȚIE ÎN ECONOMIE,ECONOMICS EDUCATION
EDUCAȚIE ÎN ETICĂ,ETHICS EDUCATION
EDUCAȚIE ÎN ETNOLOGIE,ETHNOLOGY EDUCATION
EDUCAȚIE ÎN FUTUROLOGIE,FUTUROLOGY EDUCATION
EDUCAȚIE ÎN GEOGRAFIE,GEOGRAPHY EDUCATION
EDUCAȚIE ÎN INGINERIE ȘI MESERII INGINEREȘTI,ENGINEERING AND ENGINEERING TRADES EDUCATION
EDUCAȚIE ÎN INGINERIE, MANUFACTURĂ ȘI CONSTRUCȚII
EDUCAȚIE ÎN LIMBA MATERNĂ,NATIVE LANGUAGES EDUCATION
EDUCAȚIE ÎN LIMBI STRĂINE ȘI LINGVISTICĂ,LANGUAGES AND LINGUISTICS EDUCATION
EDUCAȚIE ÎN LITERATURĂ COMPARATĂ,COMPARATIVE LITERATURE EDUCATION
EDUCAȚIE ÎN MATEMATICĂ,MATHEMATICS EDUCATION
EDUCAȚIE ÎN MATEMATICĂ ȘI STATISTICĂ,MATHEMATICS AND STATISTICS EDUCATION
EDUCAȚIE ÎN PROTECȚIA MEDIULUI,ENVIRONMENTAL PROTECTION EDUCATION
EDUCAȚIE ÎN PSIHOLOGIE,PSYCHOLOGY EDUCATION
EDUCAȚIE ÎN SERVICII DE TRANSPORT,TRANSPORT SERVICES EDUCATION
EDUCAȚIE ÎN SOCIOLOGIE,SOCIOLOGY EDUCATION
EDUCAȚIE ÎN STATISTICĂ,STATISTICS EDUCATION
EDUCAȚIE ÎN ȘTIINȚE NECESARE VIEȚII DE FAMILIE,DOMESTIC SCIENCE EDUCATION
EDUCAȚIE ÎN ȘTIINȚE POLITICE,POLITICAL SCIENCE EDUCATION
EDUCAȚIE ÎN ȘTIINȚE UMANE,HUMANITIES EDUCATION
EDUCAȚIE ÎN ȘTIINȚELE FIZICE,PHYSICAL SCIENCES EDUCATION
EDUCAȚIE ÎN ȘTIINȚELE SOCIALE ȘI COMPORTAMENTALE,SOCIAL AND BEHAVIOURAL SCIENCES EDUCATION
EDUCAȚIE ÎN ȘTIINȚELE VIEȚII,LIFE SCIENCES EDUCATION
EDUCAȚIE ÎN UNITĂȚI DE ÎNVĂȚĂMÂNT PRIVATE,PRIVATE EDUCATION
EDUCAȚIE ISTORICĂ,HISTORY EDUCATION
EDUCAȚIE LICEALĂ,SECONDARY EDUCATION
EDUCAȚIE MEDICALĂ,MEDICINE EDUCATION
EDUCAȚIE MILITARĂ,MILITARY EDUCATION
EDUCAȚIE MORALĂ,MORAL EDUCATION
EDUCAȚIE MUZICALĂ,MUSIC EDUCATION
EDUCAȚIE PE PARCURSUL VIEȚII,LIFELONG EDUCATION
EDUCAȚIE PENTRU PERSOANELE CU NEVOI SPECIALE,SPECIAL NEEDS EDUCATION
EDUCAȚIE PRIMARĂ,PRIMARY EDUCATION
EDUCAȚIE RELIGIOASĂ ȘI TEOLOGICĂ,RELIGION AND THEOLOGY EDUCATION
EDUCAȚIE SANITARĂ, PENTRU SĂNĂTATE ȘI BUNĂSTARE
EDUCAȚIE SEXUALĂ,SEX EDUCATION
EDUCAȚIE SPECIALĂ,SPECIAL EDUCATION
EDUCAȚIE STOMATOLOGICĂ,DENTAL EDUCATION
EDUCAȚIE TEHNICĂ,TECHNICAL EDUCATION
EDUCAȚIE VETERINARĂ,VETERINARY EDUCATION
EDUCAȚIE VOCAȚIONALĂ,VOCATIONAL EDUCATION
EDUCATORI,PRE-PRIMARY SCHOOL TEACHERS
EDUCATORI, ÎNVĂȚĂTORI ȘI PROFESORI DE LICEU
EȘEC,FAILURE
EȘECURI ÎN AFACERI,BUSINESS FAILURES
EFECT DE SERĂ,GREENHOUSE EFFECT
EFECTE ALE MEDICAMENTELOR,DRUG EFFECTS
EFECTE FIZIOLOGICE,PHYSIOLOGICAL EFFECTS
EFECTE PSIHOLOGICE,PSYCHOLOGICAL EFFECTS
EFECTE SECUNDARE ALE MEDICAMENTELOR,DRUG SIDE-EFFECTS
ȘEFI DE GUVERN,HEADS OF GOVERNMENT
ȘEFI DE STATE,HEADS OF STATE
EFICACITATE PERSONALĂ,PERSONAL EFFICACY
EGALITATE DE ȘANSE ÎN EDUCAȚIE,EQUAL EDUCATION
EGALITATE ÎN FAȚA LEGII,EQUALITY BEFORE THE LAW
ELABORARE DE POLITICI,POLICY MAKING
ELECTORI,ELECTORS
ELECTROCASNICE,DOMESTIC APPLIANCES
ELEMENTE STRUCTURALE (CLĂDIRI),STRUCTURAL ELEMENTS (BUILDINGS)
ELEMENTELE ȘTIRILOR,NEWS ITEMS
ELEVI ȘI STUDENȚI CU NEVOI SPECIALE,SPECIAL NEEDS STUDENTS
ELIBERARE CONDIȚIONATĂ,PAROLE
ELIBERARE DIN ÎNCHISOARE,PRISON DISCHARGE
ELITE,ELITE
EMANAȚII,FUMES
EMBLEME,EMBLEMS
EMIGRANȚI,EMIGRANTS
EMIGRARE,EMIGRATION
ENCEFALOPATIE SPONGIFORMĂ LA BOVINE,BOVINE SPONGIFORM ENCEPHALOPATHY
ENERGIA UNDELOR,WAVE POWER
ENERGIE,ENERGY
ENERGIE ELECTRICĂ,ELECTRIC POWER
ENERGIE EOLIANĂ,WIND POWER
ENERGIE HIDROELECTRICĂ,WATER POWER
ENERGIE NUCLEARĂ,NUCLEAR ENERGY
ENERGIE REGENERABILĂ,RENEWABLE ENERGY
ENERGIE SOLARĂ,SOLAR POWER
ENUREZIS,ENURESIS
EPIDEMIOLOGIE,EPIDEMIOLOGY
EPILEPSIE,EPILEPSY
EPISCOPI,BISHOPS
EPURĂRI POLITICE,POLITICAL PURGES
ESTIMĂRI,ESTIMATION
ETICĂ,ETHICS
ETICĂ MEDICALĂ,MEDICAL ETHICS
ETICA MUNCII,WORK ETHIC
ETICĂ POLITICĂ,POLITICAL ETHICS
ETICĂ PROFESIONALĂ,PROFESSIONAL ETHICS
ETICĂ ȘTIINȚIFICĂ,ETHICS OF SCIENCE
ETICHETAREA ELECTRONICĂ A INFRACTORILOR,ELECTRONIC TAGGING OF OFFENDERS
ETNOCENTRISM,ETHNOCENTRISM
ETNOGRAFIE,ETHNOGRAPHY
EUTANASIE,EUTHANASIA
EVACUAȚI,EVACUEES
EVACUAREA ȘI EPURAREA APELOR REZIDUALE,SEWAGE DISPOSAL AND HANDLING
EVACUAREA ȘI TRATAREA DEȘEURILOR,WASTE DISPOSAL AND HANDLING
EVADARE DIN ÎNCHISOARE,ESCAPE FROM PRISON
EVALUARE,EVALUATION
EVALUARE EDUCAȚIONALĂ,EDUCATIONAL ASSESSMENT
EVALUAREA COMPETENȚEI,ABILITY EVALUATION
EVALUAREA EDUCAȚIEI,EVALUATION OF EDUCATION
EVALUAREA PLANULUI DE ÎNVĂȚĂMÂNT,CURRICULUM EVALUATION
EVALUAREA SARCINILOR DE LUCRU,JOB EVALUATION
EVENIMENTE CULTURALE,CULTURAL EVENTS
EVENIMENTE DE ATLETISM,RUNNING EVENTS
EVENIMENTE DE VIAȚĂ,LIFE EVENTS
EVENIMENTE MUZICALE,MUSIC EVENTS
EVENIMENTE SPORTIVE,SPORTING EVENTS
EVITAREA PLĂTIRII IMPOZITELOR,TAX AVOIDANCE
EVOLUȚIE,EVOLUTION
EXAMINARE GENETICĂ,GENETIC SCREENING
EXAMINĂRI,EXAMINATIONS
EXAMINĂRI MEDICALE,MEDICAL EXAMINATIONS
EXCLUZIUNE SOCIALĂ,SOCIAL EXCLUSION
EXECUȚII POLITICE,POLITICAL EXECUTIONS
EXERCIȚII AEROBICE,AEROBIC EXERCISE
EXERCIȚII FIZICE,EXERCISE
EXPATRIAȚI,EXPATRIATES
EXPEDIERE (A MĂRFURILOR),DISPATCHING (GOODS)
EXPERIENȚĂ,EXPERIENCE
EXPERIENȚĂ PROFESIONALĂ,EMPLOYMENT HISTORY
EXPERIENȚĂ RELIGIOASĂ,RELIGIOUS EXPERIENCE
EXPLOATARE,EXPLOITATION
EXPLOATARE ECONOMICĂ,ECONOMIC EXPLOITATION
EXPLOATAREA COPIILOR PRIN MUNCĂ,EXPLOITATION OF CHILD LABOUR
EXPORTURI ȘI IMPORTURI,EXPORTS AND IMPORTS
EXPOZIȚII,EXHIBITIONS
EXPUNERE CLIMATICĂ,CLIMATIC EXPOSURE
EXPUNERE MASS MEDIA,MASS MEDIA EXPOSURE
EXTRĂDARE,EXTRADITION
EXTREMISM POLITIC,POLITICAL EXTREMISM
FACILITĂȚI SPORTIVE,SPORTS FACILITIES
FACTORI DE PRODUCȚIE,FACTORS OF PRODUCTION
FALS,FORGERY
FAMILIA EXTINSĂ,EXTENDED FAMILY
FAMILII,FAMILIES
FAMILII MONOPARENTALE,ONE-PARENT FAMILIES
FANTOME,GHOSTS
FARMACII,PHARMACIES
FARMACIȘTI,PHARMACISTS
FARMACOLOGIE,PHARMACOLOGY
FARURI PORTUARE,LIGHTHOUSES
FASCISM,FASCISM
FECUNDITATE,FECUNDITY
FEDERALISM,FEDERALISM
FEMEI,WOMEN
FEMEI CĂSĂTORITE,MARRIED WOMEN
FEMEI CĂSĂTORITE ANGAJATE,MARRIED WOMEN WORKERS
FEMEI CASNICE,HOUSEWIVES
FEMEI LUCRĂTOARE,WORKING WOMEN
FERESTRE,WINDOWS
FERIBOTURI,FERRIES
FERICIRE,HAPPINESS
FERMIERI, AGRICULTORI ȘI CRESCĂTORI DE ANIMALE
FERTILITATE,FERTILITY
FERTILIZARE IN-VITRO,IN-VITRO FERTILIZATION
FESTIVALURI,FESTIVALS
FETE,GIRLS
FIȘA POSTULUI,JOB DESCRIPTION
FICȚIUNE,FICTION
FIDELITATE (MĂSURARE),RELIABILITY
FILME DE ACTUALITĂȚI,NEWS FILMS
FILOSOFIA BUNĂSTĂRII SOCIALE,SOCIAL WELFARE PHILOSOPHY
FILOSOFIE,PHILOSOPHY
FILOSOFIE POLITICĂ,POLITICAL PHILOSOPHY
FINAȚELE BUNĂSTĂRII SOCIALE,SOCIAL WELFARE FINANCE
FINANȚARE,FINANCING
FINANȚARE PENTRU PROIECTE CULTURALE,CULTURAL FINANCE
FINANȚĂRI REGIONALE,REGIONAL FINANCE
FINANȚE,FINANCE
FINANȚE ÎN DOMENIUL EDUCAȚIONAL,EDUCATIONAL FINANCE
FINANȚE LOCALE,LOCAL FINANCE
FINANȚE PENTRU CERCETARE,RESEARCH FINANCE
FINANȚE PUBLICE,PUBLIC FINANCE
FINANȚELE TERENURILOR ȘI PROPRIETĂȚILOR FUNCIARE,LAND AND PROPERTY FINANCE
FINANȚELE UNEI LOCUINȚE,HOUSING FINANCE
FITOGEOGRAFIE,PHYTOGEOGRAPHY
FITOPATOLOGIE,PHYTOPATHOLOGY
FITOTERAPIE,HERBAL MEDICINE
FIZICĂ,PHYSICS
FIZICĂ NUCLEARĂ,NUCLEAR PHYSICS
FIZICA PARTICULELOR,PARTICLE PHYSICS
FIZIOLOGIE,PHYSIOLOGY
FIZIONOMIA,PHYSIOGNOMY
FIZIOTERAPIE,PHYSIOTHERAPY
FLUCTUAȚII ECONOMICE,ECONOMIC FLUCTUATIONS
FLUVII,STREAMS
FLUX DE CAPITAL,CAPITAL FLOW
FLUX DE ȘTIRI,NEWS FLOW
FOAME,HUNGER
FOAMETE,FAMINE
FOBIE ȘCOLARĂ,SCHOOL PHOBIA
FOBII,PHOBIAS
FOLCLOR,FOLKLORE
FOLOSIREA PREZERVATIVELOR,CONDOM USE
FONDUL MONETAR INTERNAȚIONAL,INTERNATIONAL MONETARY FUND
FORȚĂ DE MUNCĂ,LABOUR FORCE
FORȚE AERIENE,AIR FORCES
FORȚE ARMATE,ARMED FORCES
FORMARE EDUCAȚIONALĂ,EDUCATIONAL BACKGROUND
FORMARE PROFESIONALĂ,OCCUPATIONAL TRAINING
FORMAREA CADRELOR DIDACTICE,TEACHER TRAINING
FORMAREA CADRELOR DIDACTICE ȘI ȘTIINȚELE EDUCAȚIEI,TEACHER TRAINING AND EDUCATION SCIENCE
FORMATORI,ADULT EDUCATION TEACHERS
FORME ȘI GENURI LITERARE,LITERARY FORMS AND GENRES
FOROGRAF AMATOR,AMATEUR PHOTOGRAPHY
FORŢE DE MENŢINERE A PĂCII,PEACE-KEEPING FORCES
FOȘTI PARTENERI CIVILI,FORMER CIVIL PARTNERS
FOTOGRAFIE,PHOTOGRAPHY
FOTOJURNALISM,PHOTOJOURNALISM
FRAȚI ȘI SURORI,SIBLINGS
FRANCIZE (BUSINESS),FRANCHISES (BUSINESS)
FRANCMASONERIE,FREEMASONRY
FRATENITĂȚI,FRATERNAL SOCIETIES
FRAUDĂ,FRAUD
FRECVENȚĂ,FREQUENCY
FRECVENȚA CULEGERII DATELOR,FREQUENCY OF DATA COLLECTION
FRECVENTAREA CONCERTELOR,CONCERT GOING
FRICĂ,FEAR
FROTIU CERVICAL,CERVICAL SMEARS
FRUCTE,FRUIT
FUM,SMOKE
FUMAT,SMOKING
FUMAT PASIV,PASSIVE SMOKING
FUNCȚIONARI ÎN ADMINISTRAȚIA LOCALĂ,LOCAL GOVERNMENT OFFICERS
FUNCȚIONARI PUBLICI,CIVIL SERVANTS
FUNCȚIONARII PUBLICI,PUBLIC OFFICIALS
FUNERALII,FUNERALS
FURIE,ANGER
FURT,BURGLARY
FURT DIN MAGAZINE,SHOPLIFTING
FURT FĂRĂ ÎNCĂLCAREA PROPRIETĂȚII,THEFT
FUZIUNI,MERGERS
GÂNDIRE,THINKING
GÂNDIRE RAȚIONALĂ,REASONING
GARAJE,GARAGES
GĂRI,RAILWAY STATIONS
GĂTIT,COOKING
GELOZIE,JEALOUSY
GEN,GENDER
GENEALOGIE,GENEALOGY
GENERAȚII (VÂRSTĂ),GENERATIONS (AGE)
GENERARE DE ENERGIE ELECTRICĂ,ELECTRIC POWER GENERATION
GENETICĂ,GENETICS
GENETICA PLANTELOR,PLANT GENETICS
GENETICĂ UMANĂ,HUMAN GENETICS
GENOCID,GENOCIDE
GERIATRIE,GERIATRICS
GESTIONAREA PĂDURILOR,FOREST MANAGEMENT
GESTIUNE FINANCIARĂ,FINANCIAL MANAGEMENT
GINECOLOGIE,GYNAECOLOGY
GLOBALIZARE,GLOBALIZATION
GOSPODĂRIE CU UN SINGUR LOCATAR,SINGLE OCCUPANCY HOUSEHOLDS
GOSPODĂRII,HOUSEHOLDS
GOSPODĂRII AGRICOLE,FARMS
GRĂDINĂRIT,GARDENING
GRĂDINI ȘI PARCURI,GARDENS
GRĂDINI PRIVATE,PRIVATE GARDENS
GRĂDINI PUBLICE,PUBLIC GARDENS
GRADINI ZOOLOGICE,ZOOLOGICAL GARDENS
GRĂDINIȚE,PRE-PRIMARY SCHOOLS
GRANIȚE (FRONTIERE),BORDERS (FRONTIERS)
GRANTURI,GRANTS
GRANTURI EDUCAȚIONALE,EDUCATIONAL GRANTS
GRANTURI PENTRU CERCETARE,RESEARCH GRANTS
GREAȚĂ,NAUSEA
GREUTATE (FIZIOLOGIE),WEIGHT (PHYSIOLOGY)
GREUTATE LA NAȘTERE,BIRTH WEIGHT
GREVE,STRIKES
GRIPĂ,INFLUENZA
GROPI DE GUNOI,REFUSE SITES
GRUPARE DUPĂ COMPETENȚE,ABILITY GROUPING
GRUPARE EDUCAȚIONALĂ,EDUCATIONAL GROUPING
GRUPE DE SÂNGE,BLOOD GROUPS
GRUPURI,GROUPS
GRUPURI DE DISCUȚIE,DISCUSSION GROUPS
